province,year,government_turnover,party_turnover,new_government_leader_names,new_party_leader_names,any_top_leader_turnover,joint_top_leader_turnover,leadership_data_observed,years_since_party_turnover,years_since_government_turnover
Guangdong,2017,0.0,1.0,,李希,1.0,0.0,1,0.0,1.0
Guangdong,2018,0.0,0.0,,,0.0,0.0,1,1.0,2.0
Guangdong,2019,,,,,,,0,,
Guangdong,2020,,,,,,,0,,
Guangdong,2021,,,,,,,0,,
Guangdong,2022,,,,,,,0,,
Guangdong,2023,,,,,,,0,,
Guangxi,2000,0.0,0.0,,,0.0,0.0,1,,
Guangxi,2001,0.0,0.0,,,0.0,0.0,1,,
Guangxi,2002,0.0,0.0,,,0.0,0.0,1,,
Guangxi,2003,1.0,0.0,陆兵,,1.0,0.0,1,,0.0
Guangxi,2004,0.0,0.0,,,0.0,0.0,1,,1.0
Guangxi,2005,0.0,0.0,,,0.0,0.0,1,,2.0
Guangxi,2006,0.0,1.0,,刘奇葆,1.0,0.0,1,0.0,3.0
Guangxi,2007,1.0,1.0,马飚,郭声琨,1.0,1.0,1,0.0,0.0
Guangxi,2008,0.0,0.0,,,0.0,0.0,1,1.0,1.0
Guangxi,2009,0.0,0.0,,,0.0,0.0,1,2.0,2.0
Guangxi,2010,0.0,0.0,,,0.0,0.0,1,3.0,3.0
Guangxi,2011,0.0,0.0,,,0.0,0.0,1,4.0,4.0
Guangxi,2012,0.0,1.0,,彭清华,1.0,0.0,1,0.0,5.0
Guangxi,2013,1.0,0.0,陈武,,1.0,0.0,1,1.0,0.0
Guangxi,2014,0.0,0.0,,,0.0,0.0,1,2.0,1.0
Guangxi,2015,0.0,0.0,,,0.0,0.0,1,3.0,2.0
Guangxi,2016,0.0,0.0,,,0.0,0.0,1,4.0,3.0
Guangxi,2017,0.0,0.0,,,0.0,0.0,1,5.0,4.0
Guangxi,2018,0.0,1.0,,鹿心社,1.0,0.0,1,0.0,5.0
Guangxi,2019,,,,,,,0,,
Guangxi,2020,,,,,,,0,,
Guangxi,2021,,,,,,,0,,
Guangxi,2022,,,,,,,0,,
Guangxi,2023,,,,,,,0,,
Guizhou,2000,0.0,0.0,,,0.0,0.0,1,,
Guizhou,2001,1.0,1.0,石秀诗,钱运录,1.0,1.0,1,0.0,0.0
Guizhou,2002,0.0,0.0,,,0.0,0.0,1,1.0,1.0
Guizhou,2003,0.0,0.0,,,0.0,0.0,1,2.0,2.0
Guizhou,2004,0.0,0.0,,,0.0,0.0,1,3.0,3.0
Guizhou,2005,0.0,1.0,,石宗源,1.0,0.0,1,0.0,4.0
Guizhou,2006,1.0,0.0,林树森,,1.0,0.0,1,1.0,0.0
Guizhou,2007,0.0,0.0,,,0.0,0.0,1,2.0,1.0
Guizhou,2008,0.0,0.0,,,0.0,0.0,1,3.0,2.0
Guizhou,2009,0.0,0.0,,,0.0,0.0,1,4.0,3.0
Guizhou,2010,1.0,1.0,赵克志,栗战书,1.0,1.0,1,0.0,0.0
Guizhou,2011,0.0,0.0,,,0.0,0.0,1,1.0,1.0
Guizhou,2012,1.0,1.0,陈敏尔,赵克志,1.0,1.0,1,0.0,0.0
Guizhou,2013,0.0,0.0,,,0.0,0.0,1,1.0,1.0
Guizhou,2014,0.0,0.0,,,0.0,0.0,1,2.0,2.0
Guizhou,2015,1.0,1.0,孙志刚,陈敏尔,1.0,1.0,1,0.0,0.0
Guizhou,2016,0.0,0.0,,,0.0,0.0,1,1.0,1.0
Guizhou,2017,1.0,1.0,谌贻琴,孙志刚,1.0,1.0,1,0.0,0.0
Guizhou,2018,0.0,0.0,,,0.0,0.0,1,1.0,1.0
Guizhou,2019,,,,,,,0,,
Guizhou,2020,,,,,,,0,,
Guizhou,2021,,,,,,,0,,
Guizhou,2022,,,,,,,0,,
Guizhou,2023,,,,,,,0,,
Hainan,2000,0.0,0.0,,,0.0,0.0,1,,
Hainan,2001,0.0,1.0,,白克明,1.0,0.0,1,0.0,
Hainan,2002,0.0,1.0,,王岐山,1.0,0.0,1,0.0,
Hainan,2003,1.0,1.0,卫留成,汪啸风,1.0,1.0,1,0.0,0.0
Hainan,2004,0.0,0.0,,,0.0,0.0,1,1.0,1.0
Hainan,2005,0.0,0.0,,,0.0,0.0,1,2.0,2.0
Hainan,2006,0.0,0.0,,,0.0,0.0,1,3.0,3.0
Hainan,2007,1.0,1.0,罗保铭,卫留成,1.0,1.0,1,0.0,0.0
Hainan,2008,0.0,0.0,,,0.0,0.0,1,1.0,1.0
Hainan,2009,0.0,0.0,,,0.0,0.0,1,2.0,2.0
Hainan,2010,0.0,0.0,,,0.0,0.0,1,3.0,3.0
Hainan,2011,1.0,1.0,蒋定之,罗保铭,1.0,1.0,1,0.0,0.0
Hainan,2012,0.0,0.0,,,0.0,0.0,1,1.0,1.0
Hainan,2013,0.0,0.0,,,0.0,0.0,1,2.0,2.0
Hainan,2014,0.0,0.0,,,0.0,0.0,1,3.0,3.0
Hainan,2015,1.0,0.0,刘赐贵,,1.0,0.0,1,4.0,0.0
Hainan,2016,0.0,0.0,,,0.0,0.0,1,5.0,1.0
Hainan,2017,1.0,1.0,沈晓明,刘赐贵,1.0,1.0,1,0.0,0.0
Hainan,2018,0.0,0.0,,,0.0,0.0,1,1.0,1.0
Hainan,2019,,,,,,,0,,
Hainan,2020,,,,,,,0,,
Hainan,2021,,,,,,,0,,
Hainan,2022,,,,,,,0,,
Hainan,2023,,,,,,,0,,
Hebei,2000,0.0,1.0,,王旭东,1.0,0.0,1,0.0,
Hebei,2001,0.0,0.0,,,0.0,0.0,1,1.0,
Hebei,2002,1.0,1.0,季允石,白克明,1.0,1.0,1,0.0,0.0
Hebei,2003,0.0,0.0,,,0.0,0.0,1,1.0,1.0
Hebei,2004,0.0,0.0,,,0.0,0.0,1,2.0,2.0
Hebei,2005,0.0,0.0,,,0.0,0.0,1,3.0,3.0
Hebei,2006,1.0,0.0,郭庚茂,,1.0,0.0,1,4.0,0.0
Hebei,2007,0.0,1.0,,张云川,1.0,0.0,1,0.0,1.0
Hebei,2008,1.0,0.0,胡春华,,1.0,0.0,1,1.0,0.0
Hebei,2009,1.0,0.0,陈全国,,1.0,0.0,1,2.0,0.0
Hebei,2010,0.0,0.0,,,0.0,0.0,1,3.0,1.0
Hebei,2011,1.0,1.0,张庆伟,张庆黎,1.0,1.0,1,0.0,0.0
Hebei,2012,0.0,0.0,,,0.0,0.0,1,1.0,1.0
Hebei,2013,0.0,1.0,,周本顺,1.0,0.0,1,0.0,2.0
Hebei,2014,0.0,0.0,,,0.0,0.0,1,1.0,3.0
Hebei,2015,0.0,1.0,,赵克志,1.0,0.0,1,0.0,4.0
Hebei,2016,0.0,0.0,,,0.0,0.0,1,1.0,5.0
Hebei,2017,1.0,1.0,许勤,王东峰,1.0,1.0,1,0.0,0.0
Hebei,2018,0.0,0.0,,,0.0,0.0,1,1.0,1.0
Hebei,2019,,,,,,,0,,
Hebei,2020,,,,,,,0,,
Hebei,2021,,,,,,,0,,
Hebei,2022,,,,,,,0,,
Hebei,2023,,,,,,,0,,
Heilongjiang,2000,1.0,0.0,宋法棠,,1.0,0.0,1,,0.0
Heilongjiang,2001,0.0,0.0,,,0.0,0.0,1,,1.0
Heilongjiang,2002,0.0,0.0,,,0.0,0.0,1,,2.0
Heilongjiang,2003,1.0,1.0,张左已,宋法棠,1.0,1.0,1,0.0,0.0
Heilongjiang,2004,0.0,0.0,,,0.0,0.0,1,1.0,1.0
Heilongjiang,2005,0.0,1.0,,钱运录,1.0,0.0,1,0.0,2.0
Heilongjiang,2006,0.0,0.0,,,0.0,0.0,1,1.0,3.0
Heilongjiang,2007,1.0,0.0,栗战书,,1.0,0.0,1,2.0,0.0
Heilongjiang,2008,0.0,1.0,,吉炳轩,1.0,0.0,1,0.0,1.0
Heilongjiang,2009,0.0,0.0,,,0.0,0.0,1,1.0,2.0
Heilongjiang,2010,1.0,0.0,王宪魁,,1.0,0.0,1,2.0,0.0
Heilongjiang,2011,0.0,0.0,,,0.0,0.0,1,3.0,1.0
Heilongjiang,2012,0.0,0.0,,,0.0,0.0,1,4.0,2.0
Heilongjiang,2013,1.0,1.0,陆昊,王宪魁,1.0,1.0,1,0.0,0.0
