province,role,Name,start_year,source_terms
Henan,government,陈润儿,2016,2016.04-至今
Henan,party,吴芝圃,1958,1958.08-1961.07
Henan,party,文敏生,1962,1962.07-1968.01
Henan,party,刘建勋,1968,1968.01-1978.10
Henan,party,段君毅,1978,1978.10-1979.09
Henan,party,刘杰,1979,1979.09-1980.12
Henan,party,戴苏理,1981,1981.01-1982.12
Henan,party,于明涛,1982,1982.12-1983.04
Henan,party,何竹康,1983,1983.03-1987.07
Henan,party,程维高,1987,1987.07-1990.07
Henan,party,李长春,1990,1990.07-1992.12
Henan,party,李克强,1998,1998.07-2003.01
Henan,party,马忠臣,1998,1998.02-2000.10
Henan,party,李成玉,2003,2003.01-2008.04
Henan,party,卢展工,2009,2009.11-2013.03
Henan,party,郭庚茂,2013,2013.03-2016.03 | 2013.03-2016.03
Henan,party,谢伏瞻,2016,2016.03-2018.03
Henan,party,王国生,2018,2018.03-至今
Hubei,government,李先念,1949,1949.05-1954.05
Hubei,government,刘子厚,1954,1954.08-1956.01
Hubei,government,张体学,1956,1956.01-文革
Hubei,government,曾思玉,1968,1968.01-1974.03
Hubei,government,赵辛初,1974,1974.03-1978.08
Hubei,government,陈丕显,1978,1978.08-1980.01
Hubei,government,韩宁夫,1979,1979.12-1983.04
Hubei,government,黄知真,1983,1983.04-1986.01
Hubei,government,郭振乾,1986,1986.01-1986.05 | 1986.05-1990.03
Hubei,government,郭树言,1990,1990.02-1990.05 | 1990.05-1992.12
Hubei,government,贾志杰,1992,1992.12-1993.05 | 1993.05-1995.02
Hubei,government,蒋祝平,1995,1995.02-2000.12
Hubei,government,张国光,2001,2001.01-2001.02 | 2001.02-2002.05
Hubei,government,罗清泉,2002,2002.10-2003.01 | 2003.01-2007.12
Hubei,government,李鸿忠,2007,2007.12-2008.01 | 2008.01-2010.12
Hubei,government,王国生,2010,2010.12-2011.02 | 2011.02-2016.06
Hubei,government,王晓东,2016,2016.09-2017.01 | 2017.01-至今
Hubei,government,许达哲,2016,2016.09-2016.12 | 2016.12-至今
Hubei,party,李先念,1949,1949.05-1954.05
Hubei,party,王任重,1954,1954.05-1966.08
Hubei,party,曾思玉,1966,1966.08-1973.12
Hubei,party,赵辛初,1973,1973.12-1978.08
Hubei,party,陈丕显,1978,1978.08-1982.08
Hubei,party,关广富,1983,1983.02-1994.12
Hubei,party,贾志杰,1994,1994.12-2001.01
Hubei,party,蒋祝平,2000,2000.12-2001.12
Hubei,party,俞正声,2001,2001.12-2007.10
Hubei,party,罗清泉,2007,2007.10-2010.12
Hubei,party,李鸿忠,2010,2010.12-2016.09
Hubei,party,蒋超良,2016,2016.10-至今
Hunan,government,陈明仁,1949,1949.08-1950.04
Hunan,government,王首道,1950,1950.04-1952.03
Hunan,government,程潜,1952,1952.12-文革初期
Hunan,government,黎原,1968,1968.04-1970.05
Hunan,government,华国锋,1970,1970.05-1977.11
Hunan,government,毛致用,1977,1977.11-1979.12
