province,province_cn,variable,date,value,wind_code,wind_name,wind_unit,wind_frequency,wind_source,module,annual_method
Anhui,安徽,nbs_hydro_generation_billion_kwh,20020430,15100.0,S0075920,安徽:发电量:水力:累计值,万千瓦时,月,国家统计局,generation,december_ytd
Anhui,安徽,nbs_hydro_generation_billion_kwh,20020531,33600.0,S0075920,安徽:发电量:水力:累计值,万千瓦时,月,国家统计局,generation,december_ytd
Anhui,安徽,nbs_hydro_generation_billion_kwh,20020630,53600.0,S0075920,安徽:发电量:水力:累计值,万千瓦时,月,国家统计局,generation,december_ytd
Anhui,安徽,nbs_hydro_generation_billion_kwh,20020731,64100.0,S0075920,安徽:发电量:水力:累计值,万千瓦时,月,国家统计局,generation,december_ytd
Anhui,安徽,nbs_hydro_generation_billion_kwh,20020831,76700.0,S0075920,安徽:发电量:水力:累计值,万千瓦时,月,国家统计局,generation,december_ytd
Anhui,安徽,nbs_hydro_generation_billion_kwh,20020930,87400.0,S0075920,安徽:发电量:水力:累计值,万千瓦时,月,国家统计局,generation,december_ytd
Anhui,安徽,nbs_hydro_generation_billion_kwh,20021031,94600.0,S0075920,安徽:发电量:水力:累计值,万千瓦时,月,国家统计局,generation,december_ytd
Anhui,安徽,nbs_hydro_generation_billion_kwh,20021130,98200.0,S0075920,安徽:发电量:水力:累计值,万千瓦时,月,国家统计局,generation,december_ytd
Anhui,安徽,nbs_hydro_generation_billion_kwh,20021231,105100.0,S0075920,安徽:发电量:水力:累计值,万千瓦时,月,国家统计局,generation,december_ytd
Anhui,安徽,nbs_hydro_generation_billion_kwh,20030131,3500.0,S0075920,安徽:发电量:水力:累计值,万千瓦时,月,国家统计局,generation,december_ytd
Anhui,安徽,nbs_hydro_generation_billion_kwh,20030228,7100.0,S0075920,安徽:发电量:水力:累计值,万千瓦时,月,国家统计局,generation,december_ytd
Anhui,安徽,nbs_hydro_generation_billion_kwh,20030331,16400.0,S0075920,安徽:发电量:水力:累计值,万千瓦时,月,国家统计局,generation,december_ytd
Anhui,安徽,nbs_hydro_generation_billion_kwh,20030430,32200.0,S0075920,安徽:发电量:水力:累计值,万千瓦时,月,国家统计局,generation,december_ytd
Anhui,安徽,nbs_hydro_generation_billion_kwh,20030531,56300.0,S0075920,安徽:发电量:水力:累计值,万千瓦时,月,国家统计局,generation,december_ytd
Anhui,安徽,nbs_hydro_generation_billion_kwh,20030630,69300.0,S0075920,安徽:发电量:水力:累计值,万千瓦时,月,国家统计局,generation,december_ytd
Anhui,安徽,nbs_hydro_generation_billion_kwh,20030731,84700.0,S0075920,安徽:发电量:水力:累计值,万千瓦时,月,国家统计局,generation,december_ytd
Anhui,安徽,nbs_hydro_generation_billion_kwh,20030831,97800.0,S0075920,安徽:发电量:水力:累计值,万千瓦时,月,国家统计局,generation,december_ytd
Anhui,安徽,nbs_hydro_generation_billion_kwh,20030930,107900.0,S0075920,安徽:发电量:水力:累计值,万千瓦时,月,国家统计局,generation,december_ytd
Anhui,安徽,nbs_hydro_generation_billion_kwh,20031031,111400.0,S0075920,安徽:发电量:水力:累计值,万千瓦时,月,国家统计局,generation,december_ytd
Anhui,安徽,nbs_hydro_generation_billion_kwh,20031130,115200.0,S0075920,安徽:发电量:水力:累计值,万千瓦时,月,国家统计局,generation,december_ytd
Anhui,安徽,nbs_hydro_generation_billion_kwh,20031231,115100.0,S0075920,安徽:发电量:水力:累计值,万千瓦时,月,国家统计局,generation,december_ytd
Anhui,安徽,nbs_hydro_generation_billion_kwh,20040131,3800.0,S0075920,安徽:发电量:水力:累计值,万千瓦时,月,国家统计局,generation,december_ytd
Anhui,安徽,nbs_hydro_generation_billion_kwh,20040229,7400.0,S0075920,安徽:发电量:水力:累计值,万千瓦时,月,国家统计局,generation,december_ytd
Anhui,安徽,nbs_hydro_generation_billion_kwh,20040331,11600.0,S0075920,安徽:发电量:水力:累计值,万千瓦时,月,国家统计局,generation,december_ytd
Anhui,安徽,nbs_hydro_generation_billion_kwh,20040430,15800.0,S0075920,安徽:发电量:水力:累计值,万千瓦时,月,国家统计局,generation,december_ytd
Anhui,安徽,nbs_hydro_generation_billion_kwh,20040531,32000.0,S0075920,安徽:发电量:水力:累计值,万千瓦时,月,国家统计局,generation,december_ytd
Anhui,安徽,nbs_hydro_generation_billion_kwh,20040630,42400.0,S0075920,安徽:发电量:水力:累计值,万千瓦时,月,国家统计局,generation,december_ytd
Anhui,安徽,nbs_hydro_generation_billion_kwh,20040731,55400.0,S0075920,安徽:发电量:水力:累计值,万千瓦时,月,国家统计局,generation,december_ytd
Anhui,安徽,nbs_hydro_generation_billion_kwh,20040831,68400.0,S0075920,安徽:发电量:水力:累计值,万千瓦时,月,国家统计局,generation,december_ytd
Anhui,安徽,nbs_hydro_generation_billion_kwh,20040930,75900.0,S0075920,安徽:发电量:水力:累计值,万千瓦时,月,国家统计局,generation,december_ytd
Anhui,安徽,nbs_hydro_generation_billion_kwh,20041031,82500.0,S0075920,安徽:发电量:水力:累计值,万千瓦时,月,国家统计局,generation,december_ytd
Anhui,安徽,nbs_hydro_generation_billion_kwh,20041130,86200.0,S0075920,安徽:发电量:水力:累计值,万千瓦时,月,国家统计局,generation,december_ytd
Anhui,安徽,nbs_hydro_generation_billion_kwh,20041231,87500.0,S0075920,安徽:发电量:水力:累计值,万千瓦时,月,国家统计局,generation,december_ytd
Anhui,安徽,nbs_hydro_generation_billion_kwh,20050131,4600.0,S0075920,安徽:发电量:水力:累计值,万千瓦时,月,国家统计局,generation,december_ytd
Anhui,安徽,nbs_hydro_generation_billion_kwh,20050228,7600.0,S0075920,安徽:发电量:水力:累计值,万千瓦时,月,国家统计局,generation,december_ytd
Anhui,安徽,nbs_hydro_generation_billion_kwh,20050331,18300.0,S0075920,安徽:发电量:水力:累计值,万千瓦时,月,国家统计局,generation,december_ytd
Anhui,安徽,nbs_hydro_generation_billion_kwh,20050430,28100.0,S0075920,安徽:发电量:水力:累计值,万千瓦时,月,国家统计局,generation,december_ytd
Anhui,安徽,nbs_hydro_generation_billion_kwh,20050531,39100.0,S0075920,安徽:发电量:水力:累计值,万千瓦时,月,国家统计局,generation,december_ytd
Anhui,安徽,nbs_hydro_generation_billion_kwh,20050630,52100.0,S0075920,安徽:发电量:水力:累计值,万千瓦时,月,国家统计局,generation,december_ytd
Anhui,安徽,nbs_hydro_generation_billion_kwh,20050731,59800.0,S0075920,安徽:发电量:水力:累计值,万千瓦时,月,国家统计局,generation,december_ytd
Anhui,安徽,nbs_hydro_generation_billion_kwh,20050831,69100.0,S0075920,安徽:发电量:水力:累计值,万千瓦时,月,国家统计局,generation,december_ytd
Anhui,安徽,nbs_hydro_generation_billion_kwh,20050930,80200.0,S0075920,安徽:发电量:水力:累计值,万千瓦时,月,国家统计局,generation,december_ytd
Anhui,安徽,nbs_hydro_generation_billion_kwh,20051031,89300.0,S0075920,安徽:发电量:水力:累计值,万千瓦时,月,国家统计局,generation,december_ytd
Anhui,安徽,nbs_hydro_generation_billion_kwh,20051130,98500.0,S0075920,安徽:发电量:水力:累计值,万千瓦时,月,国家统计局,generation,december_ytd
Anhui,安徽,nbs_hydro_generation_billion_kwh,20051231,108700.0,S0075920,安徽:发电量:水力:累计值,万千瓦时,月,国家统计局,generation,december_ytd
Anhui,安徽,nbs_hydro_generation_billion_kwh,20060131,6100.0,S0075920,安徽:发电量:水力:累计值,万千瓦时,月,国家统计局,generation,december_ytd
Anhui,安徽,nbs_hydro_generation_billion_kwh,20060228,13400.0,S0075920,安徽:发电量:水力:累计值,万千瓦时,月,国家统计局,generation,december_ytd
Anhui,安徽,nbs_hydro_generation_billion_kwh,20060331,23400.0,S0075920,安徽:发电量:水力:累计值,万千瓦时,月,国家统计局,generation,december_ytd
Anhui,安徽,nbs_hydro_generation_billion_kwh,20060430,35600.0,S0075920,安徽:发电量:水力:累计值,万千瓦时,月,国家统计局,generation,december_ytd
Anhui,安徽,nbs_hydro_generation_billion_kwh,20060531,50100.0,S0075920,安徽:发电量:水力:累计值,万千瓦时,月,国家统计局,generation,december_ytd
Anhui,安徽,nbs_hydro_generation_billion_kwh,20060630,63300.0,S0075920,安徽:发电量:水力:累计值,万千瓦时,月,国家统计局,generation,december_ytd
Anhui,安徽,nbs_hydro_generation_billion_kwh,20060731,72700.0,S0075920,安徽:发电量:水力:累计值,万千瓦时,月,国家统计局,generation,december_ytd
Anhui,安徽,nbs_hydro_generation_billion_kwh,20060831,83500.0,S0075920,安徽:发电量:水力:累计值,万千瓦时,月,国家统计局,generation,december_ytd
Anhui,安徽,nbs_hydro_generation_billion_kwh,20060930,92200.0,S0075920,安徽:发电量:水力:累计值,万千瓦时,月,国家统计局,generation,december_ytd
Anhui,安徽,nbs_hydro_generation_billion_kwh,20061031,98900.0,S0075920,安徽:发电量:水力:累计值,万千瓦时,月,国家统计局,generation,december_ytd
Anhui,安徽,nbs_hydro_generation_billion_kwh,20061130,114800.0,S0075920,安徽:发电量:水力:累计值,万千瓦时,月,国家统计局,generation,december_ytd
Anhui,安徽,nbs_hydro_generation_billion_kwh,20061231,122700.0,S0075920,安徽:发电量:水力:累计值,万千瓦时,月,国家统计局,generation,december_ytd
Anhui,安徽,nbs_hydro_generation_billion_kwh,20070131,4800.0,S0075920,安徽:发电量:水力:累计值,万千瓦时,月,国家统计局,generation,december_ytd
Anhui,安徽,nbs_hydro_generation_billion_kwh,20070228,10300.0,S0075920,安徽:发电量:水力:累计值,万千瓦时,月,国家统计局,generation,december_ytd
Anhui,安徽,nbs_hydro_generation_billion_kwh,20070331,19700.0,S0075920,安徽:发电量:水力:累计值,万千瓦时,月,国家统计局,generation,december_ytd
Anhui,安徽,nbs_hydro_generation_billion_kwh,20070430,28700.0,S0075920,安徽:发电量:水力:累计值,万千瓦时,月,国家统计局,generation,december_ytd
Anhui,安徽,nbs_hydro_generation_billion_kwh,20070531,38400.0,S0075920,安徽:发电量:水力:累计值,万千瓦时,月,国家统计局,generation,december_ytd
Anhui,安徽,nbs_hydro_generation_billion_kwh,20070630,59100.0,S0075920,安徽:发电量:水力:累计值,万千瓦时,月,国家统计局,generation,december_ytd
Anhui,安徽,nbs_hydro_generation_billion_kwh,20070731,72600.0,S0075920,安徽:发电量:水力:累计值,万千瓦时,月,国家统计局,generation,december_ytd
Anhui,安徽,nbs_hydro_generation_billion_kwh,20070831,100300.0,S0075920,安徽:发电量:水力:累计值,万千瓦时,月,国家统计局,generation,december_ytd
Anhui,安徽,nbs_hydro_generation_billion_kwh,20070930,110200.0,S0075920,安徽:发电量:水力:累计值,万千瓦时,月,国家统计局,generation,december_ytd
Anhui,安徽,nbs_hydro_generation_billion_kwh,20071031,122400.0,S0075920,安徽:发电量:水力:累计值,万千瓦时,月,国家统计局,generation,december_ytd
Anhui,安徽,nbs_hydro_generation_billion_kwh,20071130,138200.0,S0075920,安徽:发电量:水力:累计值,万千瓦时,月,国家统计局,generation,december_ytd
Anhui,安徽,nbs_hydro_generation_billion_kwh,20071231,146600.0,S0075920,安徽:发电量:水力:累计值,万千瓦时,月,国家统计局,generation,december_ytd
Anhui,安徽,nbs_hydro_generation_billion_kwh,20080131,1100.0,S0075920,安徽:发电量:水力:累计值,万千瓦时,月,国家统计局,generation,december_ytd
Anhui,安徽,nbs_hydro_generation_billion_kwh,20080229,5000.0,S0075920,安徽:发电量:水力:累计值,万千瓦时,月,国家统计局,generation,december_ytd
Anhui,安徽,nbs_hydro_generation_billion_kwh,20080331,19800.0,S0075920,安徽:发电量:水力:累计值,万千瓦时,月,国家统计局,generation,december_ytd
Anhui,安徽,nbs_hydro_generation_billion_kwh,20080430,28100.0,S0075920,安徽:发电量:水力:累计值,万千瓦时,月,国家统计局,generation,december_ytd
Anhui,安徽,nbs_hydro_generation_billion_kwh,20080531,36200.0,S0075920,安徽:发电量:水力:累计值,万千瓦时,月,国家统计局,generation,december_ytd
Anhui,安徽,nbs_hydro_generation_billion_kwh,20080630,51800.0,S0075920,安徽:发电量:水力:累计值,万千瓦时,月,国家统计局,generation,december_ytd
Anhui,安徽,nbs_hydro_generation_billion_kwh,20080731,71800.0,S0075920,安徽:发电量:水力:累计值,万千瓦时,月,国家统计局,generation,december_ytd
Anhui,安徽,nbs_hydro_generation_billion_kwh,20080831,90500.0,S0075920,安徽:发电量:水力:累计值,万千瓦时,月,国家统计局,generation,december_ytd
