province,province_cn,year,month,series_type,variable,value,unit,code
Hebei,河北,2018,2,wind_utilization_hours,wind_utilization_hours,526.0,小时,S5132511
Hebei,河北,2018,3,power_output,power_output_jan_nov_10k_kwh,1242887.0,万千瓦时,S5151457
Hebei,河北,2018,3,solar_utilization_hours,solar_utilization_hours_jan_nov,310.0,小时,S5150471
Hebei,河北,2018,3,wind_utilization_hours,wind_utilization_hours,746.0,小时,S5132511
Hebei,河北,2018,4,power_output,power_output_jan_nov_10k_kwh,1641081.0,万千瓦时,S5151457
Hebei,河北,2018,4,solar_utilization_hours,solar_utilization_hours_jan_nov,432.0,小时,S5150471
Hebei,河北,2018,4,wind_utilization_hours,wind_utilization_hours,972.0,小时,S5132511
Hebei,河北,2018,5,power_output,power_output_jan_nov_10k_kwh,1990254.0,万千瓦时,S5151457
Hebei,河北,2018,5,solar_utilization_hours,solar_utilization_hours_jan_nov,559.0,小时,S5150471
Hebei,河北,2018,5,wind_utilization_hours,wind_utilization_hours,1160.0,小时,S5132511
Hebei,河北,2018,6,power_output,power_output_jan_nov_10k_kwh,2302279.0,万千瓦时,S5151457
Hebei,河北,2018,6,solar_utilization_hours,solar_utilization_hours_jan_nov,677.0,小时,S5150471
Hebei,河北,2018,6,wind_utilization_hours,wind_utilization_hours,1295.0,小时,S5132511
Hebei,河北,2018,7,power_output,power_output_jan_nov_10k_kwh,2662720.0,万千瓦时,S5151457
Hebei,河北,2018,7,solar_utilization_hours,solar_utilization_hours_jan_nov,779.0,小时,S5150471
Hebei,河北,2018,7,wind_utilization_hours,wind_utilization_hours,1413.0,小时,S5132511
Hebei,河北,2018,8,power_output,power_output_jan_nov_10k_kwh,2972704.0,万千瓦时,S5151457
Hebei,河北,2018,8,solar_utilization_hours,solar_utilization_hours_jan_nov,896.0,小时,S5150471
Hebei,河北,2018,8,wind_utilization_hours,wind_utilization_hours,1489.0,小时,S5132511
Hebei,河北,2018,9,power_output,power_output_jan_nov_10k_kwh,3285702.0,万千瓦时,S5151457
Hebei,河北,2018,9,solar_utilization_hours,solar_utilization_hours_jan_nov,998.0,小时,S5150471
Hebei,河北,2018,9,wind_utilization_hours,wind_utilization_hours,1675.0,小时,S5132511
Hebei,河北,2018,10,power_output,power_output_jan_nov_10k_kwh,3539773.0,万千瓦时,S5151457
Hebei,河北,2018,10,solar_utilization_hours,solar_utilization_hours_jan_nov,1105.0,小时,S5150471
Hebei,河北,2018,10,wind_utilization_hours,wind_utilization_hours,1835.0,小时,S5132511
Hebei,河北,2018,11,power_output,power_output_jan_nov_10k_kwh,3883419.0,万千瓦时,S5151457
Hebei,河北,2018,11,solar_utilization_hours,solar_utilization_hours_jan_nov,1195.0,小时,S5150471
Hebei,河北,2018,11,wind_utilization_hours,wind_utilization_hours,2014.0,小时,S5132511
Hebei,河北,2018,12,solar_utilization_hours,solar_utilization_hours_jan_nov,1275.0,小时,S5150471
Hebei,河北,2018,12,wind_utilization_hours,wind_utilization_hours,2276.0,小时,S5132511
Hebei,河北,2019,2,power_output,power_output_jan_nov_10k_kwh,820120.0,万千瓦时,S5151457
Hebei,河北,2019,2,solar_utilization_hours,solar_utilization_hours_jan_nov,177.0,小时,S5150471
Hebei,河北,2019,2,wind_utilization_hours,wind_utilization_hours,391.0,小时,S5132511
Hebei,河北,2019,3,power_output,power_output_jan_nov_10k_kwh,1301802.0,万千瓦时,S5151457
Hebei,河北,2019,3,solar_utilization_hours,solar_utilization_hours_jan_nov,316.0,小时,S5150471
Hebei,河北,2019,3,wind_utilization_hours,wind_utilization_hours,631.0,小时,S5132511
Hebei,河北,2019,4,power_output,power_output_jan_nov_10k_kwh,1709404.0,万千瓦时,S5151457
Hebei,河北,2019,4,solar_utilization_hours,solar_utilization_hours_jan_nov,443.0,小时,S5150471
Hebei,河北,2019,4,wind_utilization_hours,wind_utilization_hours,830.0,小时,S5132511
Hebei,河北,2019,5,power_output,power_output_jan_nov_10k_kwh,2124715.0,万千瓦时,S5151457
Hebei,河北,2019,5,solar_utilization_hours,solar_utilization_hours_jan_nov,585.0,小时,S5150471
Hebei,河北,2019,5,wind_utilization_hours,wind_utilization_hours,1047.0,小时,S5132511
Hebei,河北,2019,6,power_output,power_output_jan_nov_10k_kwh,2495320.0,万千瓦时,S5151457
Hebei,河北,2019,6,solar_utilization_hours,solar_utilization_hours_jan_nov,714.0,小时,S5150471
Hebei,河北,2019,6,wind_utilization_hours,wind_utilization_hours,1184.0,小时,S5132511
Hebei,河北,2019,7,power_output,power_output_jan_nov_10k_kwh,2925148.0,万千瓦时,S5151457
Hebei,河北,2019,7,solar_utilization_hours,solar_utilization_hours_jan_nov,840.0,小时,S5150471
Hebei,河北,2019,7,wind_utilization_hours,wind_utilization_hours,1279.0,小时,S5132511
Hebei,河北,2019,8,power_output,power_output_jan_nov_10k_kwh,3324229.0,万千瓦时,S5151457
Hebei,河北,2019,8,solar_utilization_hours,solar_utilization_hours_jan_nov,963.0,小时,S5150471
Hebei,河北,2019,8,wind_utilization_hours,wind_utilization_hours,1407.0,小时,S5132511
Hebei,河北,2019,9,power_output,power_output_jan_nov_10k_kwh,3555400.0,万千瓦时,S5151457
Hebei,河北,2019,9,solar_utilization_hours,solar_utilization_hours_jan_nov,1087.0,小时,S5150471
Hebei,河北,2019,9,wind_utilization_hours,wind_utilization_hours,1498.0,小时,S5132511
Hebei,河北,2019,10,power_output,power_output_jan_nov_10k_kwh,3935043.0,万千瓦时,S5151457
Hebei,河北,2019,10,solar_utilization_hours,solar_utilization_hours_jan_nov,1201.0,小时,S5150471
Hebei,河北,2019,10,wind_utilization_hours,wind_utilization_hours,1676.0,小时,S5132511
Hebei,河北,2019,11,power_output,power_output_jan_nov_10k_kwh,4349420.0,万千瓦时,S5151457
Hebei,河北,2019,11,solar_utilization_hours,solar_utilization_hours_jan_nov,1283.0,小时,S5150471
Hebei,河北,2019,11,wind_utilization_hours,wind_utilization_hours,1882.0,小时,S5132511
Hebei,河北,2019,12,solar_utilization_hours,solar_utilization_hours_jan_nov,1379.0,小时,S5150471
Hebei,河北,2019,12,wind_utilization_hours,wind_utilization_hours,2144.0,小时,S5132511
Hebei,河北,2020,2,power_output,power_output_jan_nov_10k_kwh,846500.0,万千瓦时,S5151457
Hebei,河北,2020,2,solar_utilization_hours,solar_utilization_hours_jan_nov,161.0,小时,S5150471
Hebei,河北,2020,2,wind_utilization_hours,wind_utilization_hours,303.0,小时,S5132511
