province,year,high_energy_interest_share,green_credit_level,green_credit_proxy_pct,green_credit_interpolated_flag,iv_assets_assets_growth_loo,iv_outlets_assets_growth_loo,iv_assets_assets_cum2011_loo,iv_outlets_assets_cum2011_loo,iv_assets_outlets_growth_loo,iv_outlets_outlets_growth_loo,iv_assets_outlets_cum2011_loo,iv_outlets_outlets_cum2011_loo,post2012,iv_aw_acum_post,iv_ow_acum_post,iv_aw_ocum_post,iv_ow_ocum_post
Beijing,2016,0.340706386014984,0.6592936139850161,65.92936139850161,0,0.12136088909253424,0.11705139520425528,0.6090681876753627,0.596747545653628,0.0623990268948975,0.030422738717933533,0.2842041539531144,0.1720052354906998,1,0.6090681876753627,0.596747545653628,0.2842041539531144,0.1720052354906998
Beijing,2017,0.287519260400616,0.712480739599384,71.2480739599384,1,0.024089909583188143,0.04497089046230462,0.6331580972585509,0.6417184361159326,-0.011116615846363294,-0.00434903355101883,0.27308753810675107,0.16765620193968098,1,0.6331580972585509,0.6417184361159326,0.27308753810675107,0.16765620193968098
Beijing,2018,0.247118253322484,0.752881746677516,75.28817466775159,0,-0.04075832257407172,-0.009338146921195703,0.5923997746844791,0.632380289194737,-0.011953698800353268,-0.0044714074121317195,0.2611338393063978,0.16318479452754925,1,0.5923997746844791,0.632380289194737,0.2611338393063978,0.16318479452754925
Beijing,2019,0.191665492461603,0.808334507538397,80.8334507538397,0,0.15610183127259805,0.11494042449075337,0.7485016059570772,0.7473207136854902,0.056064268812230846,0.020734051229484123,0.31719810811862864,0.18391884575703335,1,0.7485016059570772,0.7473207136854902,0.31719810811862864,0.18391884575703335
Beijing,2020,0.284260186770931,0.715739813229069,71.5739813229069,0,0.05467411690139849,0.09846258932360116,0.8031757228584757,0.8457833030090915,-0.07960401844642383,-0.050671540372180385,0.23759408967220483,0.13324730538485297,1,0.8031757228584757,0.8457833030090915,0.23759408967220483,0.13324730538485297
Beijing,2021,0.435907631136259,0.5640923688637409,56.40923688637409,0,0.08474533962714176,0.09323488157385432,0.8879210624856175,0.9390181845829457,0.023432318282382496,0.010276022396708478,0.2610264079545873,0.14352332778156143,1,0.8879210624856175,0.9390181845829457,0.2610264079545873,0.14352332778156143
Beijing,2022,0.48913452356839,0.5108654764316101,51.086547643161005,0,0.09971124589603829,0.10509822327664421,0.9876323083816557,1.04411640785959,0.0010321555862875945,-0.0010808210786359858,0.2620585635408749,0.14244250670292546,1,0.9876323083816557,1.04411640785959,0.2620585635408749,0.14244250670292546
Chongqing,2005,0.494141769185706,0.505858230814294,50.5858230814294,0,,,-1.212439626709359,-1.1879780099948574,,,,,0,-0.0,-0.0,,
Chongqing,2006,0.540066140931061,0.459933859068939,45.993385906893906,0,0.22776353623861056,0.23565837892866415,-0.9846760904707483,-0.9523196310661933,,,,,0,-0.0,-0.0,,
Chongqing,2007,0.56,0.4399999999999999,43.99999999999999,0,0.19123028429050853,0.13163672927410688,-0.7934458061802399,-0.8206829017920864,,,-0.04306636891634571,-0.01972141645276834,0,-0.0,-0.0,-0.0,-0.0
