province,year,bank_category,shock_assets_growth_loo,shock_assets_cum2011_loo,shock_outlets_growth_loo,shock_outlets_cum2011_loo
Beijing,2011,foreign,0.18168104164027277,0.0,0.13243590228308566,0.0
Beijing,2011,joint_stock,0.29607902079346005,0.0,0.12240617772945228,0.0
Beijing,2011,large,0.07432043291382939,0.0,0.0032847030288927215,0.0
Beijing,2011,policy,0.19100941506354374,0.0,0.019662020632273958,0.0
Beijing,2011,postal,0.19759956225753506,0.0,0.04950037380159067,0.0
Beijing,2011,rural,0.22150438211728485,0.0,0.01699672638295624,0.0
Beijing,2012,city,0.20832837000076587,0.20832837000076587,0.0653990544800429,0.0653990544800429
Beijing,2012,foreign,0.13071304241028692,0.13071304241028692,0.04744959971298712,0.04744959971298712
Beijing,2012,joint_stock,0.20694226089681855,0.20694226089681855,0.10281134598388597,0.10281134598388597
Beijing,2012,large,0.11563983289334168,0.11563983289334168,0.021541644666399407,0.021541644666399407
Beijing,2012,policy,0.15103418038627225,0.15103418038627225,-0.0032502737173016882,-0.0032502737173016882
Beijing,2012,postal,0.18608283096952682,0.18608283096952682,-0.015463677573823276,-0.015463677573823276
Beijing,2012,rural,0.17985068204968435,0.17985068204968435,-0.00501044889544211,-0.00501044889544211
Beijing,2013,city,0.19932895809928475,0.4076573281000506,0.12156755042698464,0.18696660490702754
Beijing,2013,foreign,0.07421393241872032,0.20492697482900724,0.08863607271663199,0.1360856724296191
Beijing,2013,joint_stock,0.13721530694270534,0.3441575678395239,0.0949400248638188,0.19775137084770478
Beijing,2013,large,0.07927191838727943,0.1949117512806211,0.012789537900511405,0.03433118256691081
Beijing,2013,policy,0.13490803651706962,0.2859422169033419,0.012938185871899321,0.009687912154597633
Beijing,2013,postal,0.11419800371616518,0.300280834685692,0.046802483627789826,0.03133880605396655
Beijing,2013,rural,0.17141395833672313,0.3512646403864075,0.020815746662249168,0.015805297766807058
Beijing,2014,city,0.20415908929586912,0.6118164173959197,0.16599393112926286,0.3529605360362904
Beijing,2014,foreign,0.07035649596562799,0.2752834707946352,0.08654623906785197,0.22263191149747108
Beijing,2014,joint_stock,0.11951846159604607,0.46367602943556996,0.28788038678064076,0.48563175762834554
Beijing,2014,large,0.1359451178929838,0.3308568691736049,0.00623398611108783,0.04056516867799864
Beijing,2014,policy,0.12235984214703421,0.4083020590503761,0.001070663913840697,0.01075857606843833
Beijing,2014,postal,0.32676622477641004,0.627047059462102,0.005187096372100797,0.03652590242606735
Beijing,2014,rural,0.2858398646010656,0.6371045049874731,0.010964718773175619,0.026770016539982677
Beijing,2015,city,0.21930182115123031,0.8311182385471501,0.08667213710985955,0.43963267314614995
Beijing,2015,foreign,-0.022977345360663648,0.2523061254339716,-0.011322817830264675,0.2113090936672064
Beijing,2015,joint_stock,0.13656847549069795,0.6002445049262679,0.1622759890244332,0.6479077466527787
