province,bank_category,weight_assets_2011,weight_outlets_2011
Jilin,postal,0.061586781373753924,0.23295830575777632
Jilin,rural,0.14659292639628568,0.34259872049415396
Liaoning,city,0.1918567317525626,0.11027138440398489
Liaoning,foreign,0.00944181511166076,0.004122294744074201
Liaoning,joint_stock,0.16146217328227935,0.040764914691400436
Liaoning,large,0.3612623968416296,0.3572655444864308
Liaoning,policy,0.09679644207672367,0.009275163174166953
Liaoning,postal,0.043261112564511144,0.18561777167067445
Liaoning,rural,0.13591932837063286,0.2926829268292683
Neimenggu,city,0.16801033909779065,0.05123825789923143
Neimenggu,foreign,0.0004923379900301558,0.0002134927412467976
Neimenggu,joint_stock,0.09145178164810142,0.009393680614859094
Neimenggu,large,0.4213797772170595,0.3400939368061486
Neimenggu,policy,0.12222290602498616,0.018146883005977797
Neimenggu,postal,0.03114037786940735,0.08262169086251067
Neimenggu,rural,0.16530248015262478,0.49829205807002563
Ningxia,city,0.1938059520929107,0.05457746478873239
Ningxia,foreign,0.0,0.0
Ningxia,joint_stock,0.03484151947737721,0.007042253521126761
Ningxia,large,0.393902734091459,0.4119718309859155
Ningxia,policy,0.1676748124848778,0.013204225352112676
Ningxia,postal,0.027582869586256956,0.1698943661971831
Ningxia,rural,0.18219211226711832,0.34330985915492956
Qinghai,city,0.0700997573469938,0.0504950495049505
Qinghai,foreign,0.0,0.0
Qinghai,joint_stock,0.0,0.0
Qinghai,large,0.5483957940145592,0.400990099009901
Qinghai,policy,0.2359126449177676,0.026732673267326732
Qinghai,postal,0.032353734160150985,0.16534653465346535
Qinghai,rural,0.11323806956052844,0.3564356435643564
Shaanxi,city,0.0918408685788365,0.030750116477713932
Shaanxi,foreign,0.004415815913142117,0.0015530361857431277
Shaanxi,joint_stock,0.17724031761464917,0.01910234508464047
Shaanxi,large,0.4256198347107438,0.28746699798105296
Shaanxi,policy,0.09504132231404959,0.012579593104519336
Shaanxi,postal,0.05408361691784152,0.1910234508464047
Shaanxi,rural,0.15175822395073732,0.45752446031992544
Shandong,city,0.09843632087888946,0.045581944239563355
Shandong,foreign,0.0049665678033028555,0.0021389585484584746
