province,province_cn,year,renewable_consumption_100m_kwh,renewable_consumption_share,renewable_consumption_share_yoy_pp,nonhydro_renewable_consumption_100m_kwh,nonhydro_renewable_consumption_share,nonhydro_renewable_consumption_share_yoy_pp,nonhydro_renewable_benchmark_2020_share,source_report,source_url,renewable_minimum_target_share,nonhydro_renewable_minimum_target_share,re_cons_sh,nonhydro_re_cons_sh
Sichuan,四川,2018,2013.21,0.8190000000000001,-1.6,107.7,0.044000000000000004,1.1,0.035,2018年度全国可再生能源电力发展监测评价报告,https://zfxxgk.nea.gov.cn/auto87/201906/t20190610_3673.htm,,,0.8190000000000001,0.044000000000000004
Sichuan,四川,2019,2139.0,0.8109999999999999,-0.8,148.0,0.055999999999999994,1.2,,2019年度全国可再生能源电力发展监测评价报告,https://zfxxgk.nea.gov.cn/2020-05/06/c_139059627.htm,,,0.8109999999999999,0.055999999999999994
Sichuan,四川,2020,2344.0,0.818,0.7,174.0,0.061,0.5,,2020年度全国可再生能源电力发展监测评价报告,https://zfxxgk.nea.gov.cn/2021-06/20/c_1310039970.htm,0.8,0.06,0.818,0.061
Sichuan,四川,2021,2633.0,0.804,-1.4,233.0,0.071,1.0,,2021年度全国可再生能源电力发展监测评价报告,https://www.nea.gov.cn/2022-09/16/c_1310663387.htm,0.74,0.06,0.804,0.071
Sichuan,四川,2022,2558.0,0.742,-6.2,265.0,0.077,0.6,,2022年度全国可再生能源电力发展监测评价报告,https://zfxxgk.nea.gov.cn/2023-09/07/c_1310741874.htm,0.74,0.073,0.742,0.077
Sichuan,四川,2023,,0.76,1.8,,0.094,1.7,,2023年度全国可再生能源电力发展监测评价报告,https://zfxxgk.nea.gov.cn/2024-10/10/c_1310787115.htm,0.7,0.08,0.76,0.094
Tianjin,天津,2015,63.0,0.078,,61.0,0.076,,,2015年度全国可再生能源电力发展监测评价报告,https://zfxxgk.nea.gov.cn/auto87/201608/t20160823_2289.htm,,,0.078,0.076
Tianjin,天津,2016,75.0,0.09300000000000001,1.5,72.0,0.09,1.4,0.1,2016年度全国可再生能源电力发展监测评价报告,https://zfxxgk.nea.gov.cn/auto87/201704/t20170418_2773.htm,,,0.09300000000000001,0.09
Tianjin,天津,2017,89.0,0.11,1.7,84.0,0.10400000000000001,1.4,0.1,2017年度全国可再生能源电力发展监测评价报告,https://zfxxgk.nea.gov.cn/auto87/201805/t20180522_3179.htm,,,0.11,0.10400000000000001
Tianjin,天津,2018,98.2,0.114,0.4,94.47,0.11,0.6,0.15,2018年度全国可再生能源电力发展监测评价报告,https://zfxxgk.nea.gov.cn/auto87/201906/t20190610_3673.htm,,,0.114,0.11
