province,province_cn,year,renewable_consumption_100m_kwh,renewable_consumption_share,renewable_consumption_share_yoy_pp,nonhydro_renewable_consumption_100m_kwh,nonhydro_renewable_consumption_share,nonhydro_renewable_consumption_share_yoy_pp,nonhydro_renewable_benchmark_2020_share,source_report,source_url,renewable_minimum_target_share,nonhydro_renewable_minimum_target_share,re_cons_sh,nonhydro_re_cons_sh
Jiangsu,江苏,2022,1650.0,0.223,3.7,1080.0,0.146,2.5,,2022年度全国可再生能源电力发展监测评价报告,https://zfxxgk.nea.gov.cn/2023-09/07/c_1310741874.htm,0.198,0.11800000000000001,0.223,0.146
Jiangsu,江苏,2023,,0.23199999999999998,0.9,,0.156,1.0,,2023年度全国可再生能源电力发展监测评价报告,https://zfxxgk.nea.gov.cn/2024-10/10/c_1310787115.htm,0.209,0.13,0.23199999999999998,0.156
Jiangxi,江西,2015,266.0,0.244,,24.0,0.022000000000000002,,,2015年度全国可再生能源电力发展监测评价报告,https://zfxxgk.nea.gov.cn/auto87/201608/t20160823_2289.htm,,,0.244,0.022000000000000002
Jiangxi,江西,2016,322.0,0.272,2.8,44.0,0.038,1.6,0.05,2016年度全国可再生能源电力发展监测评价报告,https://zfxxgk.nea.gov.cn/auto87/201704/t20170418_2773.htm,,,0.272,0.038
Jiangxi,江西,2017,328.0,0.254,-1.8,84.0,0.065,2.7,0.05,2017年度全国可再生能源电力发展监测评价报告,https://zfxxgk.nea.gov.cn/auto87/201805/t20180522_3179.htm,,,0.254,0.065
Jiangxi,江西,2018,326.96,0.22899999999999998,-2.5,123.07,0.086,2.1,0.08,2018年度全国可再生能源电力发展监测评价报告,https://zfxxgk.nea.gov.cn/auto87/201906/t20190610_3673.htm,,,0.22899999999999998,0.086
Jiangxi,江西,2019,392.0,0.255,2.6,135.0,0.087,0.1,,2019年度全国可再生能源电力发展监测评价报告,https://zfxxgk.nea.gov.cn/2020-05/06/c_139059627.htm,,,0.255,0.087
Jiangxi,江西,2020,410.0,0.252,-0.3,172.0,0.106,1.9,,2020年度全国可再生能源电力发展监测评价报告,https://zfxxgk.nea.gov.cn/2021-06/20/c_1310039970.htm,0.22,0.09,0.252,0.106
Jiangxi,江西,2021,546.0,0.293,4.1,244.0,0.131,2.5,,2021年度全国可再生能源电力发展监测评价报告,https://www.nea.gov.cn/2022-09/16/c_1310663387.htm,0.265,0.12,0.293,0.131
Jiangxi,江西,2022,615.0,0.31,1.7,297.0,0.15,1.9,,2022年度全国可再生能源电力发展监测评价报告,https://zfxxgk.nea.gov.cn/2023-09/07/c_1310741874.htm,0.285,0.133,0.31,0.15
Jiangxi,江西,2023,,0.327,1.7,,0.18,3.0,,2023年度全国可再生能源电力发展监测评价报告,https://zfxxgk.nea.gov.cn/2024-10/10/c_1310787115.htm,0.264,0.145,0.327,0.18
Jilin,吉林,2015,105.0,0.16,,79.0,0.122,,,2015年度全国可再生能源电力发展监测评价报告,https://zfxxgk.nea.gov.cn/auto87/201608/t20160823_2289.htm,,,0.16,0.122
Jilin,吉林,2016,138.0,0.207,4.7,91.0,0.13699999999999998,1.5,0.13,2016年度全国可再生能源电力发展监测评价报告,https://zfxxgk.nea.gov.cn/auto87/201704/t20170418_2773.htm,,,0.207,0.13699999999999998
Jilin,吉林,2017,156.0,0.222,1.5,115.0,0.16399999999999998,2.7,0.13,2017年度全国可再生能源电力发展监测评价报告,https://zfxxgk.nea.gov.cn/auto87/201805/t20180522_3179.htm,,,0.222,0.16399999999999998
Jilin,吉林,2018,186.53,0.249,2.7,127.59,0.17,0.6,0.165,2018年度全国可再生能源电力发展监测评价报告,https://zfxxgk.nea.gov.cn/auto87/201906/t20190610_3673.htm,,,0.249,0.17
Jilin,吉林,2019,196.0,0.25,0.1,147.0,0.188,1.8,,2019年度全国可再生能源电力发展监测评价报告,https://zfxxgk.nea.gov.cn/2020-05/06/c_139059627.htm,,,0.25,0.188
Jilin,吉林,2020,244.0,0.303,5.3,172.0,0.213,2.5,,2020年度全国可再生能源电力发展监测评价报告,https://zfxxgk.nea.gov.cn/2021-06/20/c_1310039970.htm,0.24,0.185,0.303,0.213
Jilin,吉林,2021,252.0,0.299,-0.4,177.0,0.21,-0.3,,2021年度全国可再生能源电力发展监测评价报告,https://www.nea.gov.cn/2022-09/16/c_1310663387.htm,0.28,0.21,0.299,0.21
Jilin,吉林,2022,294.0,0.345,4.6,218.0,0.256,4.6,,2022年度全国可再生能源电力发展监测评价报告,https://zfxxgk.nea.gov.cn/2023-09/07/c_1310741874.htm,0.302,0.223,0.345,0.256
Jilin,吉林,2023,,0.385,4.0,,0.314,5.8,,2023年度全国可再生能源电力发展监测评价报告,https://zfxxgk.nea.gov.cn/2024-10/10/c_1310787115.htm,0.313,0.235,0.385,0.314
Liaoning,辽宁,2015,197.0,0.099,,152.0,0.077,,,2015年度全国可再生能源电力发展监测评价报告,https://zfxxgk.nea.gov.cn/auto87/201608/t20160823_2289.htm,,,0.099,0.077
Liaoning,辽宁,2016,259.0,0.127,2.8,175.0,0.086,0.9,0.13,2016年度全国可再生能源电力发展监测评价报告,https://zfxxgk.nea.gov.cn/auto87/201704/t20170418_2773.htm,,,0.127,0.086
Liaoning,辽宁,2017,260.0,0.122,-0.5,197.0,0.092,0.6,0.13,2017年度全国可再生能源电力发展监测评价报告,https://zfxxgk.nea.gov.cn/auto87/201805/t20180522_3179.htm,,,0.122,0.092
Liaoning,辽宁,2018,326.37,0.142,2.0,269.82,0.11699999999999999,2.5,0.105,2018年度全国可再生能源电力发展监测评价报告,https://zfxxgk.nea.gov.cn/auto87/201906/t20190610_3673.htm,,,0.142,0.11699999999999999
Liaoning,辽宁,2019,371.0,0.154,1.2,302.0,0.125,0.8,,2019年度全国可再生能源电力发展监测评价报告,https://zfxxgk.nea.gov.cn/2020-05/06/c_139059627.htm,,,0.154,0.125
Liaoning,辽宁,2020,418.0,0.172,1.8,331.0,0.136,1.1,,2020年度全国可再生能源电力发展监测评价报告,https://zfxxgk.nea.gov.cn/2021-06/20/c_1310039970.htm,0.15,0.125,0.172,0.136
Liaoning,辽宁,2021,492.0,0.191,1.9,361.0,0.14,0.4,,2021年度全国可再生能源电力发展监测评价报告,https://www.nea.gov.cn/2022-09/16/c_1310663387.htm,0.155,0.135,0.191,0.14
Liaoning,辽宁,2022,551.0,0.21600000000000003,2.5,421.0,0.165,2.5,,2022年度全国可再生能源电力发展监测评价报告,https://zfxxgk.nea.gov.cn/2023-09/07/c_1310741874.htm,0.18100000000000002,0.14800000000000002,0.21600000000000003,0.165
Liaoning,辽宁,2023,,0.253,3.7,,0.20800000000000002,4.3,,2023年度全国可再生能源电力发展监测评价报告,https://zfxxgk.nea.gov.cn/2024-10/10/c_1310787115.htm,0.192,0.16,0.253,0.20800000000000002
Neimenggu,内蒙古,2015,354.0,0.139,,306.0,0.12,,,2015年度全国可再生能源电力发展监测评价报告,https://zfxxgk.nea.gov.cn/auto87/201608/t20160823_2289.htm,,,0.139,0.12
Neimenggu,内蒙古,2016,428.0,0.16399999999999998,2.5,398.0,0.153,3.3,0.13,2016年度全国可再生能源电力发展监测评价报告,https://zfxxgk.nea.gov.cn/auto87/201704/t20170418_2773.htm,,,0.16399999999999998,0.153
Neimenggu,内蒙古,2017,554.0,0.192,2.8,528.0,0.183,3.0,0.13,2017年度全国可再生能源电力发展监测评价报告,https://zfxxgk.nea.gov.cn/auto87/201805/t20180522_3179.htm,,,0.192,0.183
Neimenggu,内蒙古,2018,624.34,0.18600000000000003,-0.6,579.28,0.17300000000000001,-1.0,0.18,2018年度全国可再生能源电力发展监测评价报告,https://zfxxgk.nea.gov.cn/auto87/201906/t20190610_3673.htm,,,0.18600000000000003,0.17300000000000001
Neimenggu,内蒙古,2019,672.0,0.183,-0.3,611.0,0.16699999999999998,-0.6,,2019年度全国可再生能源电力发展监测评价报告,https://zfxxgk.nea.gov.cn/2020-05/06/c_139059627.htm,,,0.183,0.16699999999999998
Neimenggu,内蒙古,2020,821.0,0.21100000000000002,2.8,760.0,0.195,2.8,,2020年度全国可再生能源电力发展监测评价报告,https://zfxxgk.nea.gov.cn/2021-06/20/c_1310039970.htm,0.18,0.165,0.21100000000000002,0.195
Neimenggu,内蒙古,2021,954.0,0.24100000000000002,3.0,890.0,0.225,3.0,,2021年度全国可再生能源电力发展监测评价报告,https://www.nea.gov.cn/2022-09/16/c_1310663387.htm,0.205,0.195,0.24100000000000002,0.225
