province,year,coal_unit_count,coal_unit_average_capacity_mw,coal_unit_utilization_hours,coal_unit_operating_hours,coal_unit_standby_hours,coal_unit_operating_factor,coal_unit_standby_factor,source_report,source_url
Jiangsu,2019,130,537.15,4496.48,6376.97,1794.62,0.7279646118721461,0.20486529680365295,2019年全国电力可靠性年度报告,https://prpq.nea.gov.cn/uploads/file1/20260612/6a2b67c840cdf.pdf
Jiangsu,2020,128,547.86,4498.83,6238.34,1969.06,0.710193533697632,0.22416438979963568,2020年全国电力可靠性年度报告,https://prpq.nea.gov.cn/uploads/file1/20221220/63a11862d6604.pdf
Jiangsu,2021,124,563.68,,7167.57,899.4,0.8182157534246575,0.10267123287671233,2021年全国电力可靠性年度报告,https://prpq.nea.gov.cn/uploads/file1/20230308/640801ab6e248.pdf
Jiangsu,2022,124,563.68,,7143.84,799.83,0.8155068493150686,0.09130479452054795,2022年全国电力可靠性年度报告,https://prpq.nea.gov.cn/uploads/file1/20231213/657951e0b1c7a.pdf
Jiangsu,2023,124,564.0,,7423.66,614.14,0.8474497716894978,0.07010730593607306,2023年全国电力可靠性年度报告,https://prpq.nea.gov.cn/uploads/file1/20240911/66e102e09bfea.pdf
Jiangxi,2018,33,513.33,5183.13,7209.39,841.03,0.8229897260273973,0.09600799086757991,2018年全国电力可靠性年度报告,http://prpq.nea.gov.cn/9152.pdf
Jiangxi,2019,35,541.14,5104.76,7166.51,814.67,0.8180947488584475,0.09299885844748858,2019年全国电力可靠性年度报告,https://prpq.nea.gov.cn/uploads/file1/20260612/6a2b67c840cdf.pdf
Jiangxi,2020,35,541.14,4963.75,7102.44,874.82,0.8085655737704918,0.0995924408014572,2020年全国电力可靠性年度报告,https://prpq.nea.gov.cn/uploads/file1/20221220/63a11862d6604.pdf
Jiangxi,2021,37,547.57,,7408.05,575.37,0.8456678082191781,0.06568150684931506,2021年全国电力可靠性年度报告,https://prpq.nea.gov.cn/uploads/file1/20230308/640801ab6e248.pdf
Jiangxi,2022,39,570.77,,7200.52,707.27,0.8219771689497717,0.08073858447488584,2022年全国电力可靠性年度报告,https://prpq.nea.gov.cn/uploads/file1/20231213/657951e0b1c7a.pdf
Jiangxi,2023,38,621.32,,7319.83,703.48,0.8355970319634703,0.08030593607305936,2023年全国电力可靠性年度报告,https://prpq.nea.gov.cn/uploads/file1/20240911/66e102e09bfea.pdf
Jilin,2018,50,302.1,3692.93,6254.47,1731.02,0.7139805936073059,0.19760502283105022,2018年全国电力可靠性年度报告,http://prpq.nea.gov.cn/9152.pdf
Jilin,2019,50,302.9,3899.13,6752.51,1476.48,0.7708344748858448,0.16854794520547944,2019年全国电力可靠性年度报告,https://prpq.nea.gov.cn/uploads/file1/20260612/6a2b67c840cdf.pdf
Jilin,2020,50,306.3,4043.77,6861.39,1395.9,0.7811236338797815,0.15891393442622953,2020年全国电力可靠性年度报告,https://prpq.nea.gov.cn/uploads/file1/20221220/63a11862d6604.pdf
