edb_code,indicator,unit,freq,date,value
M0059249,山西:金融机构各项贷款余额:本外币,亿元,月,20200331,29534.05
M0059249,山西:金融机构各项贷款余额:本外币,亿元,月,20200430,29761.45
M0059249,山西:金融机构各项贷款余额:本外币,亿元,月,20200531,29858.7
M0059249,山西:金融机构各项贷款余额:本外币,亿元,月,20200630,30157.17
M0059249,山西:金融机构各项贷款余额:本外币,亿元,月,20200731,30139.88
M0059249,山西:金融机构各项贷款余额:本外币,亿元,月,20200831,30260.59
M0059249,山西:金融机构各项贷款余额:本外币,亿元,月,20200930,30409.76
M0059249,山西:金融机构各项贷款余额:本外币,亿元,月,20201031,30597.09
M0059249,山西:金融机构各项贷款余额:本外币,亿元,月,20201130,30828.07
M0059249,山西:金融机构各项贷款余额:本外币,亿元,月,20201231,30640.85
M0059249,山西:金融机构各项贷款余额:本外币,亿元,月,20210131,31367.34
M0059249,山西:金融机构各项贷款余额:本外币,亿元,月,20210228,31507.15
M0059249,山西:金融机构各项贷款余额:本外币,亿元,月,20210331,31961.93
M0059249,山西:金融机构各项贷款余额:本外币,亿元,月,20210430,32360.59
M0059249,山西:金融机构各项贷款余额:本外币,亿元,月,20210531,32588.22
M0059249,山西:金融机构各项贷款余额:本外币,亿元,月,20210630,32960.49
M0059249,山西:金融机构各项贷款余额:本外币,亿元,月,20210731,33208.94
M0059249,山西:金融机构各项贷款余额:本外币,亿元,月,20210831,33441.12
M0059249,山西:金融机构各项贷款余额:本外币,亿元,月,20210930,33739.62
M0059249,山西:金融机构各项贷款余额:本外币,亿元,月,20211031,33845.31
M0059249,山西:金融机构各项贷款余额:本外币,亿元,月,20211130,34083.19
M0059249,山西:金融机构各项贷款余额:本外币,亿元,月,20211231,34214.9
M0059249,山西:金融机构各项贷款余额:本外币,亿元,月,20220131,35003.82
M0059249,山西:金融机构各项贷款余额:本外币,亿元,月,20220228,35173.46
M0059249,山西:金融机构各项贷款余额:本外币,亿元,月,20220331,35749.88
M0059249,山西:金融机构各项贷款余额:本外币,亿元,月,20220430,35598.62
M0059249,山西:金融机构各项贷款余额:本外币,亿元,月,20220531,36000.41
M0059249,山西:金融机构各项贷款余额:本外币,亿元,月,20220630,36359.9
M0059249,山西:金融机构各项贷款余额:本外币,亿元,月,20220731,36374.28
M0059249,山西:金融机构各项贷款余额:本外币,亿元,月,20220831,36626.8
M0059249,山西:金融机构各项贷款余额:本外币,亿元,月,20220930,37252.78
M0059249,山西:金融机构各项贷款余额:本外币,亿元,月,20221031,37297.32
M0059249,山西:金融机构各项贷款余额:本外币,亿元,月,20221130,37338.94
M0059249,山西:金融机构各项贷款余额:本外币,亿元,月,20221231,37620.88
M0059249,山西:金融机构各项贷款余额:本外币,亿元,月,20230131,38781.33
M0059249,山西:金融机构各项贷款余额:本外币,亿元,月,20230228,39226.93
M0059249,山西:金融机构各项贷款余额:本外币,亿元,月,20230331,40119.96
M0059249,山西:金融机构各项贷款余额:本外币,亿元,月,20230430,40139.27
M0059249,山西:金融机构各项贷款余额:本外币,亿元,月,20230531,40272.79
M0059249,山西:金融机构各项贷款余额:本外币,亿元,月,20230630,40879.57
M0059249,山西:金融机构各项贷款余额:本外币,亿元,月,20230731,40808.21
M0059249,山西:金融机构各项贷款余额:本外币,亿元,月,20230831,41091.02
