province,year,iv_bartik_gc_relative_raw,iv_bartik_gc_level_raw,iv_interpolated_flag,iv_bartik_gc_relative_z,iv_bartik_gc_level_z
Hunan,2021,0.01096953538572107,-0.0024545031097178076,0,-0.801932716365758,-1.2648219178293714
Hunan,2022,0.008737802926226732,-0.005210515749235006,0,-0.8674292525881971,-1.6208412486089834
Jiangsu,2007,0.003312497631027478,-0.000765555673745729,0,-1.0266502664122825,-1.046645147790299
Jiangsu,2008,-0.00481997956000677,-0.001359625553916002,0,-1.2653209389002478,-1.1233865814622417
Jiangsu,2009,-0.003719939793063024,-0.0020530665133512756,0,-1.2330371433515288,-1.212964685268241
Jiangsu,2010,-0.009662540898108328,-0.0010009306296678965,0,-1.4074396739399377,-1.0770506811641845
Jiangsu,2011,0.010382585878714832,0.0030944389746317704,0,-0.819158418973089,-0.5480143752663454
Jiangsu,2012,0.011363925311188974,0.0037708201506012878,0,-0.7903582223311879,-0.46064003954385796
Jiangsu,2013,0.012254229581773048,0.004843101907492714,0,-0.7642297114251297,-0.3221236089506558
Jiangsu,2014,0.009214325333968975,0.0048175755463367425,0,-0.8534443472709329,-0.3254210822226142
Jiangsu,2015,0.01428311756864899,0.005550164659489317,0,-0.7046862231551243,-0.23078585375475816
Jiangsu,2016,0.03146879553922621,0.007421078871409079,0,-0.20032362587403227,0.01089722712923357
Jiangsu,2017,0.030642910718986487,0.006732655039248963,1,-0.22456156479644682,-0.07803276851161219
Jiangsu,2018,0.02980580603761765,0.006035052830000928,0,-0.24912878245374168,-0.16814841897189897
Jiangsu,2019,0.05136919319306442,0.0062791997311022925,0,0.38371014135937465,-0.13660973330126622
Jiangsu,2020,0.0403602352278521,0.0029799851518357064,0,0.060620959646611745,-0.5627994211738857
Jiangsu,2021,0.03904115651573334,0.0024651442218802462,0,0.021908843290106398,-0.6293061275338411
Jiangsu,2022,0.0323841105486555,0.0008716200429536299,0,-0.17346110370432266,-0.8351562037011149
Jiangxi,2007,0.012986849095432162,-0.0011103049881682403,0,-0.7427289081771848,-1.0911795662641322
Jiangxi,2008,-0.0012205918003439977,-0.0018196146874203366,0,-1.1596866681898725,-1.182807580164481
Jiangxi,2009,-0.004301503568780417,-0.004071704504140403,0,-1.2501047863568033,-1.4737305962304432
Jiangxi,2010,-0.01680076818796432,-0.001502806844121281,0,-1.6169312553636301,-1.1418826167808513
Jiangxi,2011,0.008954083956903967,0.005083157416982481,0,-0.8610818706250438,-0.29111344571226166
Jiangxi,2012,0.01913769765125485,0.006781971938024208,0,-0.5622147638758305,-0.07166205415191158
Jiangxi,2013,0.024379425166943892,0.00858323161366438,0,-0.40838136209913606,0.16102311393717803
Jiangxi,2014,0.020567114375834066,0.008614737752952796,0,-0.5202644647348772,0.1650930497800253
Jiangxi,2015,0.02347354261681338,0.00953885476970492,0,-0.4349670619241688,0.284469687299285
Jiangxi,2016,0.044474232895365,0.01169842409094893,0,0.1813579216883524,0.5634409857241575
Jiangxi,2017,0.03207367586897057,0.009760782637585173,1,-0.18257169227697434,0.3131381374620951
Jiangxi,2018,0.019455419931047234,0.0077864077157050625,0,-0.5528902999515961,0.058090091485447096
Jiangxi,2019,0.042668002243975114,0.0065750791935648015,0,0.12834894618075868,-0.09838828006591852
Jiangxi,2020,0.014413292928164923,-0.0001526179971909228,0,-0.7008658570025721,-0.9674663884886434
Jiangxi,2021,0.009686846436243067,-0.0010941635794322003,0,-0.8395768716426156,-1.089094433034463
Jiangxi,2022,0.02520941020713245,-0.0026175276537305087,0,-0.3840230905610192,-1.285881287524505
Jilin,2007,-0.0027205895337458932,-0.0016791983140350055,0,-1.2037083677719063,-1.164668714410983
Jilin,2008,-0.00503624101611688,-0.001781953365446109,0,-1.2716677463920572,-1.1779425231421414
Jilin,2009,-0.015102053749336476,-0.0044257907450203,0,-1.5670776489029445,-1.5194711507942327
Jilin,2010,-0.009930489865009808,-0.0011808114591084831,0,-1.4153033984387084,-1.1002875312421792
Jilin,2011,0.020154281077270388,0.005304118323407476,0,-0.5323802320071476,-0.26256990679450687
Jilin,2012,0.0264650462845867,0.0067174746067336045,0,-0.3471728787539027,-0.07999376366365539
Jilin,2013,0.03111919553144092,0.00835114673008225,0,-0.2105836323886404,0.131042589264603
Jilin,2014,0.02925753166388011,0.00839356504478107,0,-0.26521945328059887,0.13652215049568586
Jilin,2015,0.036909959819483286,0.009370774387020591,0,-0.04063718502939527,0.2627572087342597
Jilin,2016,0.0519061837885242,0.011205248602596031,0,0.3994696576208398,0.4997330023852039
Jilin,2017,0.04796888698358347,0.009808640530105417,1,0.2839184849405249,0.3193203786547787
Jilin,2018,0.04399307056054049,0.008395432198286356,0,0.1672368445145915,0.1367633477717372
Jilin,2019,0.05019218096729311,0.006582902556690127,0,0.3491673700914642,-0.0973776647790408
Jilin,2020,0.0244406757704978,0.00034958997254806105,0,-0.4065837889369732,-0.9025915970109156
Jilin,2021,0.019650858757784172,-0.0007350754937210095,0,-0.5471545917397134,-1.04270774447841
Jilin,2022,0.013654941717565185,-0.002730603788580649,0,-0.7231218300799319,-1.300488364893912
Liaoning,2007,0.008951394616471948,-0.0005704305551871377,0,-0.8611607969686882,-1.021439053619522
Liaoning,2008,-0.015416578620201703,-0.00218516727872429,0,-1.5763082757685636,-1.2300293479658018
Liaoning,2009,0.0073840321793379035,-0.0018651483537280825,0,-0.9071595053715313,-1.1886895798238388
Liaoning,2010,-0.007726565706659569,-0.0008343814182757185,0,-1.350622975902039,-1.0555359979833039
Liaoning,2011,0.006542279566112871,0.003306683480028856,0,-0.93186312980818,-0.5205968134998807
Liaoning,2012,0.016024460358707908,0.004652244224376117,0,-0.6535815664837692,-0.3467784394993361
Liaoning,2013,0.02358784964160732,0.006451277991381017,0,-0.4316123971846544,-0.11438081236392116
Liaoning,2014,0.027766226076048665,0.007192772721540058,0,-0.30898605712981614,-0.01859516398820253
Liaoning,2015,0.046760191543219386,0.009149455044585414,0,0.24844587963117695,0.23416736736250215
Liaoning,2016,0.06979086807258802,0.011432999591978805,0,0.9243465831925918,0.5291536783508461
Liaoning,2017,0.06752730641453372,0.010644763593118108,1,0.8579159286140097,0.42733003328224256
Liaoning,2018,0.06520762957731961,0.0098394605930068,0,0.7898384145076051,0.32330168774291773
Liaoning,2019,0.09323344230674156,0.010113943490326098,0,1.6123355963659465,0.3587591511858954
Liaoning,2020,0.07959463652342459,0.005900431266552541,0,1.2120660509652257,-0.1855387161861367
Liaoning,2021,0.07977696906648947,0.00556305614892924,0,1.2174171180075917,-0.22912054229088993
Liaoning,2022,0.08429043364848311,0.00419732248709086,0,1.3498775727657852,-0.4055448363376933
Neimenggu,2007,-0.007280064901143137,-0.003517203239725533,0,-1.3375191398855653,-1.402100602143038
Neimenggu,2008,-0.013167473963091333,-0.0029722137062095995,0,-1.5103019029993732,-1.331699325232267
Neimenggu,2009,-0.0322029520886309,-0.008776181253711256,0,-2.068952146785018,-2.0814508367094082
Neimenggu,2010,-0.01783059821370666,-0.0027917255034044363,0,-1.6471545463755248,-1.3083840151879829
Neimenggu,2011,0.042870156575487275,0.01057520665349631,0,0.13428173997962164,0.4183447279392421
Neimenggu,2012,0.05684631686587626,0.013361229473606726,0,0.5444519128494842,0.7782407479103972
Neimenggu,2013,0.07258383439652151,0.016847610243031053,0,1.0063141233541977,1.2286084024617911
Neimenggu,2014,0.07253645040831844,0.01707777437710506,0,1.0049235054571004,1.2583408063729908
Neimenggu,2015,0.08260626922946276,0.018934062174055053,0,1.3004509780117248,1.4981344596126471
Neimenggu,2016,0.10513217730361732,0.0219697325444755,0,1.9615378156591383,1.8902797343650564
Neimenggu,2017,0.08707111571622636,0.0185795906419619,1,1.4314845964922305,1.4523441334629326
Neimenggu,2018,0.06863792005674085,0.015117706418157899,0,0.8905100446051514,1.0051409215026612
Neimenggu,2019,0.06619565418978589,0.010367756214039186,0,0.818834806769481,0.39154645946744016
Neimenggu,2020,0.005551465747333909,-0.0030473809379005243,0,-0.9609413792619936,-1.3414093632558397
Neimenggu,2021,-0.005145116867966724,-0.005303119283846385,0,-1.2748630179149028,-1.6328036931738041
Neimenggu,2022,-0.013623668442945032,-0.009661253499973458,0,-1.5236902274587416,-2.1957837045227713
Ningxia,2007,0.007339337914194576,-0.0024742064960016985,0,-0.9084711856956857,-1.2673671842400913
Ningxia,2008,-0.005895414664291223,-0.002632419507480466,0,-1.2968826406458989,-1.287805004321049
Ningxia,2009,-0.018690432299481922,-0.007039692161988725,0,-1.6723888230490949,-1.8571326766702538
Ningxia,2010,-0.018957079763986577,-0.0020671208902865155,0,-1.6802143512584697,-1.2147802175336828
Ningxia,2011,0.024464935781558124,0.008367260858448992,0,-0.4058718099152901,0.13312419843974424
Ningxia,2012,0.036888309850925956,0.010683054783228714,0,-0.041272564930690044,0.432276456126051
Ningxia,2013,0.04217763212205275,0.013123620398814161,0,0.11395764030703975,0.7475466129917596
Ningxia,2014,0.03383378917945882,0.012945832452780479,0,-0.1309161612989866,0.7245801197834114
Ningxia,2015,0.0333263884565478,0.013600471104384865,0,-0.14580727859490264,0.8091457750002501
Ningxia,2016,0.0560681772970859,0.016303121078148942,0,0.5216151941215869,1.1582717627386738
Ningxia,2017,0.03439022216713973,0.013264673487603748,1,-0.11458605274230935,0.7657677290908727
Ningxia,2018,0.012336608544789858,0.010170020492710541,0,-0.7618120664640398,0.36600312988714456
Ningxia,2019,0.027363508159724517,0.007096191952435584,0,-0.3208049597414339,-0.031071384267358577
Ningxia,2020,-0.024237086171448208,-0.003653538621629113,0,-1.835171155981997,-1.419712288944082
Ningxia,2021,-0.033404890403557215,-0.0053592395335953094,0,-2.1042264450306707,-1.6400532585322187
Ningxia,2022,-0.01846981555367592,-0.008122652824487217,0,-1.66591419719442,-1.997028599060109
Qinghai,2007,-0.004025160190576117,-0.0041628977792963215,0,-1.2419947039840757,-1.4855108646976802
Qinghai,2008,-0.010429130145693142,-0.004124654688114953,0,-1.429937415642161,-1.4805706552319793
Qinghai,2009,-0.03715956067451348,-0.01059475289408053,0,-2.2144179226689547,-2.3163723494396513
Qinghai,2010,-0.021422667033592212,-0.0023392032414241946,0,-1.752574021982576,-1.2499275804956862
Qinghai,2011,0.04503939810633424,0.012343042439284494,0,0.19794430217246134,0.6467122268251744
Qinghai,2012,0.0577719081444258,0.015459362849686792,0,0.5716160213629347,1.0492758040374437
Qinghai,2013,0.07363705281806748,0.01944064148242762,0,1.037223813359135,1.5635739368369586
Qinghai,2014,0.06994731986647629,0.019628452961242767,0,0.9289381060437627,1.5878352613467805
Qinghai,2015,0.07178409715409148,0.021133736205545057,0,0.9828435594680947,1.7822864498450108
Qinghai,2016,0.09933801563847894,0.02490042611499937,0,1.7914916626066395,2.268864196837188
