province,year,green_credit_high_energy_interest_share,green_credit_proxy,green_credit_proxy_pct,green_credit_interpolated_flag
Guizhou,2013,0.708405238046899,0.29159476195310097,29.1594761953101,0
Guizhou,2014,0.696752029981262,0.30324797001873804,30.324797001873804,0
Guizhou,2015,0.709183245194326,0.29081675480567404,29.081675480567405,0
Guizhou,2016,0.685515400019071,0.31448459998092904,31.448459998092904,0
Guizhou,2017,0.695951935388555,0.30404806461144496,30.404806461144496,1
Guizhou,2018,0.707032642460661,0.292967357539339,29.296735753933902,0
Guizhou,2019,0.712450087027746,0.28754991297225396,28.754991297225395,0
Guizhou,2020,0.72453776245691,0.27546223754308996,27.546223754308997,0
Guizhou,2021,0.733743727691273,0.26625627230872695,26.625627230872695,0
Guizhou,2022,0.664840136738387,0.33515986326161296,33.5159863261613,0
Hainan,2005,0.43483556638246,0.56516443361754,56.516443361754,0
Hainan,2006,0.387793427230047,0.612206572769953,61.220657276995304,0
Hainan,2007,0.539727582292849,0.460272417707151,46.0272417707151,0
Hainan,2008,0.582802547770701,0.41719745222929905,41.7197452229299,0
Hainan,2009,0.616792929292929,0.38320707070707105,38.32070707070711,0
Hainan,2010,0.563005780346821,0.436994219653179,43.699421965317896,0
Hainan,2011,0.449784017278618,0.550215982721382,55.02159827213819,0
Hainan,2012,0.504373177842566,0.49562682215743403,49.5626822157434,0
Hainan,2013,0.48857249906332,0.51142750093668,51.142750093668,0
Hainan,2014,0.325343811394892,0.674656188605108,67.4656188605108,0
Hainan,2015,0.514242424242424,0.48575757575757605,48.575757575757606,0
Hainan,2016,0.599532831559824,0.40046716844017605,40.0467168440176,0
Hainan,2017,0.59604385128694,0.40395614871305996,40.395614871305995,1
Hainan,2018,0.600132187706543,0.399867812293457,39.9867812293457,0
Hainan,2019,0.598139122729287,0.40186087727071296,40.186087727071296,0
Hainan,2020,0.617697806260784,0.38230219373921603,38.23021937392161,0
Hainan,2021,0.615515151515152,0.384484848484848,38.448484848484796,0
Hainan,2022,0.63040036190907,0.36959963809093,36.959963809093,0
Hebei,2005,0.60669775328529,0.39330224671471004,39.330224671471,0
Hebei,2006,0.618982587913964,0.381017412086036,38.1017412086036,0
Hebei,2007,0.638449661928339,0.36155033807166104,36.155033807166106,0
Hebei,2008,0.641754576481539,0.358245423518461,35.8245423518461,0
Hebei,2009,0.630701789028869,0.369298210971131,36.929821097113106,0
Hebei,2010,0.608865155287643,0.39113484471235704,39.11348447123571,0
Hebei,2011,0.559369369369369,0.440630630630631,44.063063063063105,0
Hebei,2012,0.583907665729356,0.41609233427064396,41.609233427064396,0
Hebei,2013,0.58579307527321,0.41420692472679,41.420692472679,0
Hebei,2014,0.555673296380828,0.44432670361917204,44.432670361917204,0
Hebei,2015,0.547796500324044,0.45220349967595597,45.220349967595595,0
Hebei,2016,0.548161677122211,0.451838322877789,45.183832287778905,0
Hebei,2017,0.537096684105677,0.462903315894323,46.2903315894323,1
Hebei,2018,0.527291849255039,0.472708150744961,47.2708150744961,0
Hebei,2019,0.537814092426638,0.462185907573362,46.218590757336194,0
Hebei,2020,0.614797666450597,0.38520233354940303,38.5202333549403,0
Hebei,2021,0.613784567638963,0.38621543236103695,38.6215432361037,0
Hebei,2022,0.601425519375276,0.398574480624724,39.8574480624724,0
Heilongjiang,2005,0.484021304926764,0.515978695073236,51.5978695073236,0
Heilongjiang,2006,0.580483490566038,0.419516509433962,41.9516509433962,0
Heilongjiang,2007,0.645333333333333,0.354666666666667,35.466666666666704,0
Heilongjiang,2008,0.580645161290323,0.41935483870967705,41.9354838709677,0
Heilongjiang,2009,0.619629818305315,0.38037018169468495,38.037018169468496,0
Heilongjiang,2010,0.587215751525236,0.412784248474764,41.2784248474764,0
Heilongjiang,2011,0.462959809264305,0.537040190735695,53.7040190735695,0
Heilongjiang,2012,0.470487483530962,0.529512516469038,52.9512516469038,0
Heilongjiang,2013,0.470525694034259,0.529474305965741,52.947430596574094,0
Heilongjiang,2014,0.452191674947554,0.5478083250524459,54.78083250524459,0
Heilongjiang,2015,0.452557646435198,0.547442353564802,54.744235356480196,0
Heilongjiang,2016,0.459268367660621,0.5407316323393789,54.07316323393789,0
Heilongjiang,2017,0.472514799723226,0.527485200276774,52.7485200276774,1
Heilongjiang,2018,0.485694508537148,0.514305491462852,51.4305491462852,0
Heilongjiang,2019,0.350775939463896,0.6492240605361039,64.92240605361039,0
Heilongjiang,2020,0.39928523014357,0.60071476985643,60.071476985643,0
Heilongjiang,2021,0.432068023079259,0.5679319769207409,56.793197692074095,0
Heilongjiang,2022,0.455520060642157,0.544479939357843,54.4479939357843,0
Henan,2005,0.474182886522218,0.525817113477782,52.5817113477782,0
Henan,2006,0.510130757450819,0.48986924254918096,48.986924254918094,0
Henan,2007,0.515969368696302,0.48403063130369794,48.403063130369794,0
Henan,2008,0.527508214258424,0.472491785741576,47.249178574157604,0
Henan,2009,0.514177171472975,0.48582282852702496,48.5822828527025,0
Henan,2010,0.533923392040188,0.466076607959812,46.6076607959812,0
Henan,2011,0.503929764214147,0.49607023578585296,49.6070235785853,0
Henan,2012,0.520948833696641,0.479051166303359,47.9051166303359,0
Henan,2013,0.509714377924802,0.490285622075198,49.0285622075198,0
Henan,2014,0.498821635072824,0.5011783649271759,50.11783649271759,0
Henan,2015,0.469935760171306,0.530064239828694,53.0064239828694,0
Henan,2016,0.4465403375491,0.5534596624509001,55.345966245090004,0
Henan,2017,0.457791203123849,0.542208796876151,54.220879687615096,1
Henan,2018,0.469574802198466,0.530425197801534,53.0425197801534,0
Henan,2019,0.483194475718682,0.516805524281318,51.6805524281318,0
Henan,2020,0.511510387422796,0.488489612577204,48.848961257720404,0
Henan,2021,0.523261845564956,0.47673815443504397,47.673815443504395,0
Henan,2022,0.669720558009359,0.33027944199064097,33.027944199064095,0
Hubei,2005,0.60146804835924,0.39853195164076005,39.853195164076006,0
Hubei,2006,0.618833162743091,0.38116683725690903,38.116683725690905,0
Hubei,2007,0.540651831084633,0.459348168915367,45.9348168915367,0
Hubei,2008,0.654087387339904,0.345912612660096,34.591261266009596,0
Hubei,2009,0.619738602449316,0.380261397550684,38.0261397550684,0
Hubei,2010,0.619054860662282,0.380945139337718,38.0945139337718,0
Hubei,2011,0.611005861109467,0.388994138890533,38.8994138890533,0
Hubei,2012,0.572729915689505,0.42727008431049496,42.7270084310495,0
Hubei,2013,0.526144433519065,0.47385556648093496,47.3855566480935,0
Hubei,2014,0.517415673086722,0.482584326913278,48.258432691327805,0
Hubei,2015,0.504157064750802,0.495842935249198,49.5842935249198,0
Hubei,2016,0.472611182329159,0.527388817670841,52.7388817670841,0
Hubei,2017,0.4554682468118,0.5445317531882,54.45317531882,1
Hubei,2018,0.436599579129121,0.5634004208708789,56.340042087087895,0
Hubei,2019,0.395995919408314,0.604004080591686,60.4004080591686,0
Hubei,2020,0.421162366432108,0.578837633567892,57.883763356789196,0
Hubei,2021,0.421120729490774,0.578879270509226,57.887927050922606,0
Hubei,2022,0.435993219487695,0.564006780512305,56.4006780512305,0
Hunan,2005,0.525507301346482,0.47449269865351795,47.449269865351795,0
Hunan,2006,0.637719414016101,0.362280585983899,36.2280585983899,0
Hunan,2007,0.634192083703484,0.365807916296516,36.5807916296516,0
Hunan,2008,0.64540798907477,0.35459201092522996,35.459201092522996,0
Hunan,2009,0.610814290312198,0.389185709687802,38.918570968780195,0
Hunan,2010,0.574436250935129,0.42556374906487104,42.55637490648711,0
Hunan,2011,0.559614990784354,0.44038500921564605,44.038500921564605,0
Hunan,2012,0.510247901620144,0.489752098379856,48.9752098379856,0
Hunan,2013,0.516820491236509,0.48317950876349103,48.3179508763491,0
Hunan,2014,0.480654276709053,0.5193457232909471,51.934572329094706,0
Hunan,2015,0.467733800536222,0.5322661994637781,53.22661994637781,0
Hunan,2016,0.455399696707106,0.544600303292894,54.4600303292894,0
Hunan,2017,0.42971264043358,0.57028735956642,57.028735956641995,1
Hunan,2018,0.401692017450772,0.598307982549228,59.830798254922804,0
Hunan,2019,0.418312005955124,0.581687994044876,58.1687994044876,0
Hunan,2020,0.445629664361349,0.554370335638651,55.4370335638651,0
Hunan,2021,0.447566482689413,0.552433517310587,55.243351731058695,0
Hunan,2022,0.467249084101614,0.5327509158983861,53.27509158983861,0
Jiangsu,2005,0.408185077920287,0.591814922079713,59.181492207971296,0
Jiangsu,2006,0.417048481619606,0.5829515183803939,58.295151838039395,0
Jiangsu,2007,0.408195257466018,0.5918047425339821,59.18047425339821,0
Jiangsu,2008,0.415078140915573,0.584921859084427,58.49218590844269,0
Jiangsu,2009,0.412142055275397,0.5878579447246031,58.78579447246031,0
Jiangsu,2010,0.403121692332921,0.5968783076670789,59.6878307667079,0
Jiangsu,2011,0.396532749063519,0.603467250936481,60.346725093648104,0
Jiangsu,2012,0.394445944382304,0.6055540556176959,60.55540556176959,0
Jiangsu,2013,0.381068354001125,0.618931645998875,61.8931645998875,0
Jiangsu,2014,0.370286458911767,0.6297135410882331,62.971354108823306,0
Jiangsu,2015,0.351122564523057,0.648877435476943,64.8877435476943,0
Jiangsu,2016,0.353877638030271,0.6461223619697289,64.6122361969729,0
Jiangsu,2017,0.345734383349247,0.654265616650753,65.4265616650753,1
Jiangsu,2018,0.337115788146507,0.662884211853493,66.2884211853493,0
Jiangsu,2019,0.335727004128593,0.664272995871407,66.4272995871407,0
Jiangsu,2020,0.338328381346079,0.661671618653921,66.1671618653921,0
Jiangsu,2021,0.340190685297662,0.6598093147023381,65.9809314702338,0
Jiangsu,2022,0.34562092026751,0.65437907973249,65.437907973249,0
