outcome,horizon_years,sample_start_year,controls,model,threshold_share,threshold_percent,threshold_term_coefficient,clustered_standard_error,normal_approximation_p,sse,observations,provinces,below_observations,above_observations,sse_improvement_over_worst_percent
wind_gen_sh,1,2014,False,kink,0.4282,42.82,0.06949326752622487,0.04998404505937919,0.16443506714024983,0.09423515916067732,279,31,44,235,0.1716732019673663
wind_gen_sh,2,2014,False,kink,0.8762,87.62,-0.25388791966393986,0.12741440851905522,0.046303571474679825,0.10837162109096868,248,31,190,58,1.919646862725835
wind_gen_sh,3,2014,False,kink,0.8852,88.52,-0.4122260655079712,0.20883728025327722,0.04839193956787568,0.06239214801473274,217,31,167,50,6.163160109868835
wind_gen_sh,1,2015,False,kink,0.4278,42.78,0.10968403754487174,0.06623180569734693,0.09770907745611873,0.09294829427704275,248,31,39,209,0.2962506555260893
wind_gen_sh,2,2015,False,kink,0.8903,89.03,-0.4309582273668,0.2066384487962936,0.037017908111544526,0.06790694284875748,217,31,173,44,4.631134739491679
wind_gen_sh,3,2015,False,kink,0.8842,88.42,-0.4726427180557749,0.22721942600958497,0.03751491274536113,0.05501822346638227,186,31,144,42,6.630332924909672
wind_gen_sh,1,2016,False,kink,0.9007,90.07,-0.6180529837151585,0.23253311406985827,0.007862598970198545,0.05001872960513168,217,31,184,33,7.335733218858527
wind_gen_sh,2,2016,False,kink,0.8924,89.24,-0.6826736197145166,0.26927936064937197,0.011238721200016311,0.05891192618344828,186,31,153,33,7.213896046414581
wind_gen_sh,3,2016,False,kink,0.8928,89.28,-0.7509190683459434,0.2981960125940563,0.011795422112701383,0.04609747999226129,155,31,125,30,9.296223876039804
wind_gen_sh,1,2013,True,kink,0.4267,42.67,0.06542755806506557,0.04250753804290462,0.12375573307511958,0.09170674018919414,309,31,47,262,0.22517407801249167
wind_gen_sh,2,2013,True,kink,0.8778,87.78,-0.15881722140918764,0.09718319424297646,0.10221590059871982,0.10256454906798203,278,31,212,66,1.04935952057964
wind_gen_sh,3,2013,True,kink,0.8199,81.99,-0.1569191192757452,0.10950956792948509,0.15187895441743365,0.09626517284944236,247,31,148,99,1.4225651968861233
wind_gen_sh,1,2014,True,kink,0.4282,42.82,0.10400939753886407,0.05002869284242594,0.0376178187352235,0.09024540801151767,279,31,44,235,0.36976900315245664
wind_gen_sh,2,2014,True,kink,0.8873,88.73,-0.29802026649481367,0.1304328037069328,0.022321231226394896,0.09583521587926402,248,31,195,53,2.2629360893143344
wind_gen_sh,3,2014,True,kink,0.8777,87.77000000000001,-0.38102801208286946,0.17479267231601622,0.02926594993507754,0.05809764612283085,217,31,164,53,6.244469024227147
wind_gen_sh,1,2015,True,kink,0.8906,89.05999999999999,-0.14812279574251225,0.10460603578892419,0.1567736877863388,0.0873788945760238,248,31,201,47,0.4712793550064038
