outcome,horizon_years,sample_start_year,controls,model,threshold_share,threshold_percent,threshold_term_coefficient,clustered_standard_error,normal_approximation_p,sse,observations,provinces,below_observations,above_observations
windsolar_gen_sh,3,2013,True,jump,0.5701,57.010000000000005,0.017425082765358695,0.01709243884717184,0.3079839381118708,0.15441531968564692,247,31,61,186
windsolar_gen_sh,3,2013,True,jump,0.5738,57.379999999999995,0.017425082765358695,0.01709243884717184,0.3079839381118708,0.15441531968564692,247,31,61,186
windsolar_gen_sh,3,2013,True,jump,0.5775,57.75,0.014567876955751955,0.016333907563345892,0.37245753536866655,0.15487796098247542,247,31,62,185
windsolar_gen_sh,3,2013,True,jump,0.5811,58.10999999999999,-0.00847636434103416,0.00922316468704126,0.3580799205877193,0.1558876705978654,247,31,65,182
windsolar_gen_sh,3,2013,True,jump,0.5848,58.48,-0.01806926601479407,0.017482715303986335,0.3013464342070821,0.15450929008696324,247,31,66,181
windsolar_gen_sh,3,2013,True,jump,0.5885,58.85,-0.014512043725703432,0.017564102857194036,0.40867185663913097,0.15507918423839961,247,31,68,179
windsolar_gen_sh,3,2013,True,jump,0.5922,59.21999999999999,-0.013825043357936759,0.018540623988646462,0.45587146997775274,0.15526650505263284,247,31,69,178
windsolar_gen_sh,3,2013,True,jump,0.5958,59.58,-0.01563202333245285,0.020889798743362328,0.45427382820317214,0.1551063619116585,247,31,70,177
windsolar_gen_sh,3,2013,True,jump,0.5995,59.95,-0.011719724512752844,0.022626916774899374,0.6044896716958352,0.1556369898898689,247,31,71,176
windsolar_gen_sh,3,2013,True,jump,0.6032,60.31999999999999,-0.016806686066386894,0.018997199839969815,0.37632233580499563,0.15487784271472424,247,31,73,174
windsolar_gen_sh,3,2013,True,jump,0.6068,60.68,-0.02237463801772514,0.01903181049669815,0.23973707694384794,0.15394923798083665,247,31,75,172
windsolar_gen_sh,3,2013,True,jump,0.6105,61.050000000000004,-0.026357852393507582,0.020923532686869927,0.20776935658794582,0.15333757390384475,247,31,76,171
windsolar_gen_sh,3,2013,True,jump,0.6142,61.419999999999995,-0.009055992586449502,0.010827134268425244,0.4029206937898613,0.15607591176716223,247,31,78,169
windsolar_gen_sh,3,2013,True,jump,0.6179,61.79,-0.009055992586449502,0.010827134268425244,0.4029206937898613,0.15607591176716223,247,31,78,169
windsolar_gen_sh,3,2013,True,jump,0.6215,62.150000000000006,-0.009055992586449502,0.010827134268425244,0.4029206937898613,0.15607591176716223,247,31,78,169
windsolar_gen_sh,3,2013,True,jump,0.6252,62.519999999999996,-0.009055992586449502,0.010827134268425244,0.4029206937898613,0.15607591176716223,247,31,78,169
windsolar_gen_sh,3,2013,True,jump,0.6289,62.89,-0.00694256820583247,0.008878268497426043,0.43423031207228135,0.15614243574156514,247,31,79,168
windsolar_gen_sh,3,2013,True,jump,0.6326,63.260000000000005,-0.00694256820583247,0.008878268497426043,0.43423031207228135,0.15614243574156514,247,31,79,168
windsolar_gen_sh,3,2013,True,jump,0.6362,63.62,-0.0042097506206451776,0.006297984296874621,0.5038602678670222,0.15622282101246027,247,31,82,165
windsolar_gen_sh,3,2013,True,jump,0.6399,63.99,-0.003632227021489692,0.010228011489266178,0.722495623121604,0.1562446985390077,247,31,84,163
windsolar_gen_sh,3,2013,True,jump,0.6436,64.36,-0.003632227021489692,0.010228011489266178,0.722495623121604,0.1562446985390077,247,31,84,163
windsolar_gen_sh,3,2013,True,jump,0.6472,64.72,-0.0040398296057319,0.013126063979144582,0.758256139414665,0.15623320929891624,247,31,86,161
windsolar_gen_sh,3,2013,True,jump,0.6509,65.09,-0.009659049672846797,0.0134790092979053,0.4736213286710386,0.15578858909604998,247,31,88,159
windsolar_gen_sh,3,2013,True,jump,0.6546,65.46,-0.0061766302514679825,0.01382631779206161,0.6550700546790631,0.15611086464765556,247,31,89,158
windsolar_gen_sh,3,2013,True,jump,0.6583,65.83,-0.0061766302514679825,0.01382631779206161,0.6550700546790631,0.15611086464765556,247,31,89,158
windsolar_gen_sh,3,2013,True,jump,0.6619,66.19,-0.002862769147097945,0.012636918198338095,0.8207813477217905,0.15627234734209655,247,31,90,157
windsolar_gen_sh,3,2013,True,jump,0.6656,66.56,-0.0054698048689342995,0.011952172716014191,0.6472103465867154,0.1561451353098013,247,31,92,155
windsolar_gen_sh,3,2013,True,jump,0.6693,66.93,-0.0054698048689342995,0.011952172716014191,0.6472103465867154,0.1561451353098013,247,31,92,155
windsolar_gen_sh,3,2013,True,jump,0.673,67.30000000000001,-0.0054698048689342995,0.011952172716014191,0.6472103465867154,0.1561451353098013,247,31,92,155
windsolar_gen_sh,3,2013,True,jump,0.6766,67.66,-0.000407563381130661,0.011475356803338995,0.9716679680127988,0.15631570896852465,247,31,93,154
windsolar_gen_sh,3,2013,True,jump,0.6803,68.03,-0.000407563381130661,0.011475356803338995,0.9716679680127988,0.15631570896852465,247,31,93,154
windsolar_gen_sh,3,2013,True,jump,0.684,68.4,0.0036392806601638025,0.01296508534558375,0.7789416208113731,0.15625418184162226,247,31,95,152
windsolar_gen_sh,3,2013,True,jump,0.6876,68.76,-0.0020491546714822193,0.01075780962428975,0.8489324972572911,0.15629803582226107,247,31,97,150
windsolar_gen_sh,3,2013,True,jump,0.6913,69.13,0.0007579306784279306,0.011452456781026011,0.9472340267679229,0.15631385609655488,247,31,99,148
windsolar_gen_sh,3,2013,True,jump,0.695,69.5,0.0007579306784279306,0.011452456781026011,0.9472340267679229,0.15631385609655488,247,31,99,148
windsolar_gen_sh,3,2013,True,jump,0.6987,69.87,0.0007579306784279306,0.011452456781026011,0.9472340267679229,0.15631385609655488,247,31,99,148
windsolar_gen_sh,3,2013,True,jump,0.7023,70.23,-0.0009522325737119048,0.010500842747729711,0.9277456404929734,0.1563116436028903,247,31,100,147
windsolar_gen_sh,3,2013,True,jump,0.706,70.6,-0.0007455036844219607,0.010446821362176754,0.9431098335159455,0.15631343913990375,247,31,101,146
windsolar_gen_sh,3,2013,True,jump,0.7097,70.97,0.0011993863991489762,0.0110371301836524,0.9134655696688567,0.15630959767090968,247,31,103,144
windsolar_gen_sh,3,2013,True,jump,0.7134,71.34,0.00946583141370294,0.00967560439221523,0.3279163814234964,0.15581867915644582,247,31,106,141
windsolar_gen_sh,3,2013,True,jump,0.717,71.7,0.00946583141370294,0.00967560439221523,0.3279163814234964,0.15581867915644582,247,31,106,141
windsolar_gen_sh,3,2013,True,jump,0.7207,72.07000000000001,0.009967863524829562,0.008999054931787653,0.26801010442590517,0.15574227212318054,247,31,107,140
windsolar_gen_sh,3,2013,True,jump,0.7244,72.44,0.009967863524829562,0.008999054931787653,0.26801010442590517,0.15574227212318054,247,31,107,140
windsolar_gen_sh,3,2013,True,jump,0.728,72.8,0.009967863524829562,0.008999054931787653,0.26801010442590517,0.15574227212318054,247,31,107,140
windsolar_gen_sh,3,2013,True,jump,0.7317,73.17,0.009967863524829562,0.008999054931787653,0.26801010442590517,0.15574227212318054,247,31,107,140
windsolar_gen_sh,3,2013,True,jump,0.7354,73.54,0.00827758891314196,0.00871282518296584,0.34208863480488844,0.1558946973717564,247,31,108,139
windsolar_gen_sh,3,2013,True,jump,0.7391,73.91,0.0022983706106182574,0.009501684169505144,0.8088647280106558,0.15628362400860557,247,31,111,136
windsolar_gen_sh,3,2013,True,jump,0.7427,74.27,0.0063850874400862775,0.010158253328730027,0.5296361404625318,0.1560703794699409,247,31,113,134
windsolar_gen_sh,3,2013,True,jump,0.7464,74.64,0.008025387284544864,0.009020655759628368,0.3736442697559865,0.15588391706252652,247,31,114,133
windsolar_gen_sh,3,2013,True,jump,0.7501,75.01,0.008025387284544864,0.009020655759628368,0.3736442697559865,0.15588391706252652,247,31,114,133
windsolar_gen_sh,3,2013,True,jump,0.7538,75.38,0.008025387284544864,0.009020655759628368,0.3736442697559865,0.15588391706252652,247,31,114,133
windsolar_gen_sh,3,2013,True,jump,0.7574,75.74,0.008025387284544864,0.009020655759628368,0.3736442697559865,0.15588391706252652,247,31,114,133
windsolar_gen_sh,3,2013,True,jump,0.7611,76.11,0.011827928172687357,0.012201838268974,0.3323674735195235,0.15529649972853077,247,31,118,129
windsolar_gen_sh,3,2013,True,jump,0.7648,76.48,0.015681616048436646,0.01164460024935549,0.1780814960651102,0.15429413773255934,247,31,121,126
windsolar_gen_sh,3,2013,True,jump,0.7684,76.84,0.015588678249244871,0.010001602457269592,0.11908680522021206,0.15426047071269383,247,31,124,123
windsolar_gen_sh,3,2013,True,jump,0.7721,77.21000000000001,0.01875373626644337,0.010763520643508861,0.08144858287046723,0.1532430873816688,247,31,125,122
