lower_threshold_percent,upper_threshold_percent,middle_vs_low_coefficient,high_vs_middle_coefficient,bootstrap_repetition
77.64999999999999,83.99,0.02734592752788412,-0.02480998290033781,273
77.62,84.14,0.03640370970781186,-0.024893463452205458,274
77.5,83.91,0.04198927423476085,-0.027577325897675323,275
76.89,83.88,0.031153960187920132,-0.04338106914391847,276
77.49000000000001,92.06,0.02003736248846249,-0.029232962731471607,277
60.760000000000005,91.63,-0.05067963411930126,-0.043401765214501224,278
85.9,90.56,-0.025403939762460217,-0.026016026084592813,279
84.24000000000001,92.39,-0.038777428337496256,-0.04382200596141318,280
60.75000000000001,84.11999999999999,-0.03254787719384357,-0.04346258355473476,281
77.61,89.36,0.037897898017407165,-0.01725458717610086,282
61.06,85.88,-0.06376589723022337,-0.055981707306598114,283
60.79,92.43,-0.056134850702278576,-0.03219237856128012,284
60.650000000000006,90.63,-0.03240667908035058,-0.023006302504643222,285
59.63,88.6,-0.11209175067898995,-0.04708306261986743,286
77.7,85.36,0.038154370105000016,-0.06767790442674634,287
77.56,92.38,0.04241896670684459,-0.026549279604256123,288
77.31,83.99,0.02685740477069326,-0.023977994511806554,289
77.58,86.85000000000001,0.042367760037021446,-0.029123598887732742,290
77.69,86.09,0.036594031715875226,-0.019566960092298063,291
77.39,84.13000000000001,0.03872941875746552,-0.01804465643901254,292
84.36,92.32000000000001,-0.028133323521047644,-0.023288557374501966,293
76.79,84.35000000000001,0.05450063481785066,-0.027108351789955673,294
77.56,90.57,0.021309757195219135,-0.025245954863757372,295
64.94,77.73,0.038950086864875,0.04243018276287194,296
77.75999999999999,84.28999999999999,0.03970323614895125,-0.03533111780723839,297
73.87,77.69,-0.02588101235013291,0.034557247782825984,298
87.76,92.36999999999999,0.025693279294649596,-0.049085302059606734,299
77.75999999999999,84.39999999999999,0.027578755309958992,-0.020110752728194504,300
73.98,77.86999999999999,-0.020283566377158332,0.03854350412014537,301
77.47,96.09,0.06021667878941463,0.017570847799983455,302
60.9,92.17999999999999,-0.06881809451741443,-0.02942796317113794,303
83.99,92.36,-0.04280168196597314,-0.03677720552808543,304
83.93,92.91,-0.03946824432274266,-0.027335548691136198,305
77.89,90.39,0.0368163073753118,-0.018233989024759163,306
80.23,84.37,0.04679859522571994,-0.033171814684640595,307
83.91,90.78,-0.020977380373822997,-0.024836927981611336,308
60.81999999999999,91.43,-0.07928919727052577,-0.03855742222599773,309
84.21,92.28,-0.01794408928234949,-0.01703251384831599,310
80.21000000000001,90.63,0.03213587757115917,-0.017921732814007267,311
72.19,82.80999999999999,0.024646755978744175,-0.02485931564400372,312
57.85,77.36,0.03920445079073141,0.057386514185635035,313
60.97,70.94,-0.04902500667349038,-0.05102630120290196,314
83.88,92.13,-0.03406067015664481,-0.023120054046167987,315
65.16999999999999,87.92,-0.030988630296919912,0.027575912773054365,316
75.82,96.11,0.09172328467256954,0.016239478769738705,317
60.81999999999999,90.22,-0.06688009718139622,-0.058148548551615706,318
57.67,60.74,0.05661379929586458,-0.08068207566476808,319
77.4,92.38,0.0564210759198335,-0.0213210225677911,320
77.45,93.96,0.04401996276345517,-0.01556498478731055,321
70.92,77.55,-0.022159186243245095,0.04746094689923816,322
60.099999999999994,77.85,0.022006260512285866,0.048524378915969155,323
66.19,77.75999999999999,0.02743699152706285,0.038228808231756436,324
65.22,84.16,-0.02615784125719133,-0.03151426556169007,325
77.85,89.28,0.03435362363595624,-0.02259902041156619,326
65.59,77.75,-0.018514607876146453,0.03301142404945829,327
77.73,85.59,0.029408858290409567,-0.029173625379391156,328
86.00999999999999,92.33,-0.027909202661476916,-0.02223862699039588,329
76.59,83.97,0.030088619056249245,-0.02686440995930412,330
77.41,90.82000000000001,0.03692958208007155,-0.021973738090420206,331
83.96000000000001,92.24,-0.0300273042730629,-0.031162320093685966,332
77.81,85.53,0.04087527007252096,-0.025360861812730628,333
65.31,75.87,-0.02190778596936336,0.0533018773194096,334
60.980000000000004,86.0,-0.05277183851511003,-0.04684814022780962,335
84.23,91.36,-0.025057033585820964,-0.01494281559343245,336
77.64999999999999,86.81,0.05028127469642905,0.02859505742946785,337
77.8,90.62,0.0382566098615305,-0.035016536364164345,338
77.56,84.24000000000001,0.04074358674833467,-0.029429582716960126,339
57.330000000000005,60.42999999999999,0.0357968702819644,-0.035501254748684125,340
76.67,87.92,0.04709219102896121,0.02638379558075272,341
60.81999999999999,90.55,-0.050148080294464756,-0.023784641586163335,342
64.94,77.24,0.025332306117945475,0.04249251461311494,343
83.97,92.15,-0.019460922430235193,-0.023872039404432777,344
60.62,89.74,-0.023201575019341676,-0.028695592447161473,345
77.91,83.98,0.048063092572903234,-0.022624487231005835,346
61.0,84.33,-0.04036394049754859,-0.041676456746635476,347
60.760000000000005,92.25,-0.03429646483910492,-0.03076863053573302,348
60.77,89.55,-0.04305531963242658,-0.036199365960186,349
77.85,90.44,0.0445282822180784,-0.02291105910087601,350
61.07,91.11,-0.08293752990120905,-0.05868117668302626,351
77.57,92.29,0.05805584363626531,-0.02495968021230279,352
77.63,83.89999999999999,0.02491334324817614,-0.019299228157322153,353
60.89,89.46,-0.035638029160108275,-0.040668936692145316,354
75.79,92.17999999999999,0.026782616210777703,-0.015873199476203956,355
60.96,88.64999999999999,-0.035837932035462976,-0.055403562736547916,356
77.77,89.18,0.02788552963838176,-0.023639676994967686,357
77.86999999999999,93.94,0.033845996850977514,-0.021950170937844113,358
77.89,84.06,0.04699725394955593,-0.03012030012913414,359
60.660000000000004,77.58,0.021110345482266726,0.042442171894618685,360
57.85,77.42,0.02781702042407655,0.06674931917251792,361
77.39,94.02000000000001,0.029377275993672725,-0.02658186919759343,362
77.64999999999999,92.58999999999999,0.03153475969897129,-0.024158755769169427,363
77.88000000000001,92.31,0.03863248517366048,-0.01953590588041992,364
82.21000000000001,90.36,-0.018700098077715478,-0.042547439201387025,365
60.85,92.44,-0.04249072871531518,-0.03975344089751202,366
76.42,83.91999999999999,0.04224781287452656,-0.022354057603326226,367
77.35,92.24,0.01753306324252478,-0.020518757108118325,368
77.7,88.67,0.03489607845274969,-0.016599335114641678,369
84.0,93.23,-0.03904886808496056,-0.020068631446798386,370
74.17,77.85,-0.02414977972195007,0.039992529849272165,371
77.47,92.11,0.02672877506168306,-0.02325421166962483,372
61.07,88.22,-0.0808090093276865,-0.03208790167557937,373
61.12,90.77,-0.08858677510944978,-0.03417504385446753,374
84.08,89.46,-0.08484172646429013,-0.04622355384987974,375
60.96,88.69,-0.06266737133418628,-0.05552795533436142,376
77.56,91.45,0.03404653945340625,-0.019941045069459144,377
61.029999999999994,89.46,-0.08102871895264961,-0.03732044175483114,378
61.029999999999994,90.2,-0.04358117058896263,-0.03245505481821119,379
77.62,92.45,0.02862678480093893,-0.045671777089119715,380
86.14,92.4,-0.030270880270425283,-0.035458603382386975,381
59.260000000000005,77.92999999999999,-0.02391310165229073,0.027099988216591295,382
