lower_threshold_percent,upper_threshold_percent,middle_vs_low_coefficient,middle_vs_low_standard_error,middle_vs_low_p,high_vs_low_coefficient,high_vs_low_standard_error,high_vs_low_p,sse,low_observations,middle_observations,high_observations
84.37,92.23,-0.02141838458428261,0.012788141335295211,0.0939611173153405,-0.046867169247222666,0.017381373144019045,0.007009301990616739,0.11132905406462446,118,39,44
84.37,92.67,-0.02141838458428261,0.012788141335295211,0.0939611173153405,-0.046867169247222666,0.017381373144019045,0.007009301990616739,0.11132905406462446,118,39,44
77.82,86.99,0.033293141608886974,0.01172314927795073,0.004512080068972396,0.029026242804410848,0.016189390528865928,0.0729861047155507,0.11137978691178146,81,48,72
77.38000000000001,86.99,0.033293141608886974,0.01172314927795073,0.004512080068972396,0.029026242804410848,0.016189390528865928,0.0729861047155507,0.11137978691178146,81,48,72
77.82,93.54,0.033341604170971366,0.01172214361651418,0.004450541141388451,0.029388921288372533,0.017335961525048606,0.09002655605080996,0.111381365579483,81,86,34
77.38000000000001,93.54,0.033341604170971366,0.01172214361651418,0.004450541141388451,0.029388921288372533,0.017335961525048606,0.09002655605080996,0.111381365579483,81,86,34
77.38000000000001,83.06,0.034198373097979726,0.011692279425707516,0.0034460244230364785,0.02997098062361678,0.013590978900833875,0.027439268685143077,0.11138690285898742,81,29,91
77.82,83.06,0.034198373097979726,0.011692279425707516,0.0034460244230364785,0.02997098062361678,0.013590978900833875,0.027439268685143077,0.11138690285898742,81,29,91
69.08,77.38000000000001,0.005419122685113384,0.011642234384442826,0.6415941872379227,0.03954319992299743,0.01671518020677735,0.017995735022411363,0.11139394047984781,52,29,120
69.08,77.82,0.005419122685113384,0.011642234384442826,0.6415941872379227,0.03954319992299743,0.01671518020677735,0.017995735022411363,0.11139394047984781,52,29,120
64.27000000000001,77.38000000000001,0.0048255286347237015,0.009103289595839583,0.5960521327209662,0.03958259733007938,0.016499513687211222,0.016439196353313507,0.11140074965735434,38,43,120
64.27000000000001,77.82,0.0048255286347237015,0.009103289595839583,0.5960521327209662,0.03958259733007938,0.016499513687211222,0.016439196353313507,0.11140074965735434,38,43,120
69.51,77.38000000000001,0.005219976105044015,0.01205523634303924,0.6650112282555798,0.03938328892575294,0.0176109448105952,0.02533237532703965,0.11140135385233953,53,28,120
