province,date,value
辽宁,20200531,50378
辽宁,20200630,50042
辽宁,20200731,50214.1
辽宁,20200831,50454.8
辽宁,20200930,50832.6
辽宁,20201031,50826.8
辽宁,20201130,51321
辽宁,20201231,51498.7
辽宁,20210131,51886.7
辽宁,20210228,52007.7
辽宁,20210331,52636.5
辽宁,20210430,53008.22
辽宁,20210531,53377.46
辽宁,20210630,53743.53
辽宁,20210731,53919.43
辽宁,20210831,53990.24
辽宁,20210930,52535.5
辽宁,20211031,52421.85
辽宁,20211130,52694.56
辽宁,20211231,52504.53
辽宁,20220131,53014.61
辽宁,20220228,52824.95
辽宁,20220331,53347.19
辽宁,20220430,53320.21
辽宁,20220531,53651.98
辽宁,20220630,54172.42
辽宁,20220731,53389.01
辽宁,20220831,53593.23
辽宁,20220930,54029.1
辽宁,20221031,53903
辽宁,20221130,54008
辽宁,20221231,53809.16
辽宁,20230131,54154.06
辽宁,20230228,54473.33
辽宁,20230331,55149.12
辽宁,20230430,55039.35
辽宁,20230531,54868.09
辽宁,20230630,55667.1
辽宁,20230731,55414.29
辽宁,20230831,55362.71
辽宁,20230930,55731.36
辽宁,20231031,55320.31
辽宁,20231130,54883.91
辽宁,20231231,54488.18
辽宁,20240131,54863.22
辽宁,20240229,54860.93
辽宁,20240331,55605.79
辽宁,20240430,55395.18
辽宁,20240531,54608.63
辽宁,20240630,54859.42
辽宁,20240731,54828.32
辽宁,20240831,54925.03
辽宁,20240930,55348.51
辽宁,20241031,54976.66
辽宁,20241130,51978.59
辽宁,20241231,51956.14
吉林,20090131,5112.5
吉林,20090228,5332
吉林,20090331,5634.4
吉林,20090430,5724.6
吉林,20090531,5784.4
吉林,20090630,5917.6
吉林,20090731,5884.3
吉林,20090831,6052.5
吉林,20090930,6129.6
吉林,20091031,6118.3
吉林,20091130,6152.4
吉林,20091231,6234.7
吉林,20100131,6417.3
吉林,20100228,6548.3
吉林,20100331,6662.2
吉林,20100430,6749.1
吉林,20100531,6845
吉林,20100630,6864.5
吉林,20100731,6929.2
吉林,20100831,6941.2
吉林,20100930,6954.2
吉林,20101031,7028.1
吉林,20101130,7103
吉林,20101231,7205.9
吉林,20110131,7342.5
吉林,20110228,7427.5
吉林,20110331,7369.9
吉林,20110430,7524.9
吉林,20110531,7581.7
吉林,20110630,7666.6
吉林,20110731,7683.2
吉林,20110831,7744.8
吉林,20110930,7812.9
吉林,20111031,7868.4
吉林,20111130,7945.4
吉林,20111231,8126.2
吉林,20120131,8262
吉林,20120229,8402.1
吉林,20120331,8555.2
吉林,20120430,8698.5
吉林,20120531,8805.3
吉林,20120630,8878.9
吉林,20120731,8931.9
吉林,20120831,9009.2
吉林,20120930,9041.2
吉林,20121031,9073.3
吉林,20121130,9134
吉林,20121231,9155.6
吉林,20130131,9361.6
吉林,20130228,9453.1
吉林,20130331,9708.3
吉林,20130430,9972.8
吉林,20130531,10124.4
吉林,20130630,10217.8
吉林,20130731,10269.2
吉林,20130831,10330.5
吉林,20130930,10414.1
吉林,20131031,10417
吉林,20131130,10493.2
吉林,20131231,10696.5
吉林,20140131,11123.19
吉林,20140228,11302.19
吉林,20140331,11578.5
吉林,20140430,11828.3
吉林,20140531,11971.74
吉林,20140630,12119.6
吉林,20140731,12127.5
吉林,20140831,12214.9
吉林,20140930,12254.64
吉林,20141031,12326.5
吉林,20141130,12375.6
吉林,20141231,12587.3
吉林,20150131,13155.6
吉林,20150228,13419.3
吉林,20150331,13717.82
吉林,20150430,13971.2
吉林,20150531,14014
吉林,20150630,14191.59
吉林,20150731,14270.9
吉林,20150831,14337.5
吉林,20150930,14505.56
吉林,20151031,14597.9
吉林,20151130,14842.7
吉林,20151231,15203.11
吉林,20160131,15605.6
吉林,20160229,15670
吉林,20160331,16022
吉林,20160430,15994.8
吉林,20160531,16068.4
吉林,20160630,16278
吉林,20160731,16305.7
吉林,20160831,16431.3
吉林,20160930,16656.9
吉林,20161031,16639.1
吉林,20161130,16720.7
吉林,20161231,17141.1
吉林,20170131,17343.6
吉林,20170228,17468.3
吉林,20170331,17489.3
吉林,20170430,17581.5
吉林,20170531,17719.6
吉林,20170630,17882.1
吉林,20170731,17884.7
吉林,20170831,17953.8
吉林,20170930,18022.45
吉林,20171031,17837.06
吉林,20171130,17895.23
吉林,20171231,17959.69
吉林,20180131,18213.33
吉林,20180228,18390.61
吉林,20180331,18490.65
吉林,20180430,18648.04
吉林,20180531,18762.34
吉林,20180630,18817.11
吉林,20180731,18874.09
吉林,20180831,18910.67
吉林,20180930,18993.25
吉林,20181031,19009.18
吉林,20181130,18997.91
吉林,20181231,18956.37
吉林,20190131,19505.76
吉林,20190228,19613.83
吉林,20190331,19946.28
吉林,20190430,19978.52
吉林,20190531,20085.95
吉林,20190630,20232.29
吉林,20190731,20270.89
吉林,20190831,20357.11
吉林,20190930,20523.07
吉林,20191031,20622.15
吉林,20191130,20773.01
吉林,20191231,20863.6
吉林,20200131,21209.56
吉林,20200229,21200.86
吉林,20200331,21598.22
吉林,20200430,21787.36
吉林,20200531,21923.09
吉林,20200630,22127.02
吉林,20200731,22253.32
吉林,20200831,22495.41
吉林,20200930,22579.37
吉林,20201031,22570.52
吉林,20201130,22630.03
吉林,20201231,22739.82
吉林,20210131,23135.77
吉林,20210228,23193.9
吉林,20210331,23488.96
吉林,20210430,23765.77
吉林,20210531,23922.77
