province,province_cn,year,hydro_monthly_observations,hydro_monthly_mean_100m_kwh,hydro_monthly_sd_100m_kwh,hydro_monthly_cv,nuclear_monthly_observations,nuclear_monthly_mean_100m_kwh,nuclear_monthly_sd_100m_kwh,nuclear_monthly_cv,solar_monthly_observations,solar_monthly_mean_100m_kwh,solar_monthly_sd_100m_kwh,solar_monthly_cv,thermal_monthly_observations,thermal_monthly_mean_100m_kwh,thermal_monthly_sd_100m_kwh,thermal_monthly_cv,wind_monthly_observations,wind_monthly_mean_100m_kwh,wind_monthly_sd_100m_kwh,wind_monthly_cv,windsolar_monthly_observations,windsolar_monthly_mean_100m_kwh,windsolar_monthly_sd_100m_kwh,windsolar_monthly_cv,observed_source_monthly_observations,observed_source_monthly_mean_100m_kwh,observed_source_monthly_sd_100m_kwh,observed_source_monthly_cv,therm_month_n,therm_month_cv,windsolar_month_n,windsolar_month_cv,allsrc_month_n,allsrc_month_cv
Hebei,河北,2016,10,1.4,0.3559026084010439,0.2542161488578885,0,,,,7,1.792557142857143,0.5565808891710851,0.31049547925928606,10,198.69000000000003,13.253129609433595,0.06670254974801748,10,17.59,8.809016845129642,0.5007968644189678,10,18.84479,8.779239653542518,0.46587091994883034,10,218.93479000000002,16.2002482767292,0.07399576959298794,10,0.06670254974801748,10,0.46587091994883034,10,0.07399576959298794
Hebei,河北,2017,10,0.9800000000000001,0.42635405214185285,0.43505515524678856,0,,,,10,3.3924099999999995,0.6396397448738013,0.18855024742699183,10,207.44,19.803265723949014,0.09546502952154365,10,21.130000000000003,6.326671935368373,0.2994165610680725,10,24.52241,6.5001291015298746,0.26506893496723505,10,232.94241000000002,19.44227067508377,0.08346385132309642,10,0.09546502952154365,10,0.26506893496723505,10,0.08346385132309642
Hebei,河北,2018,10,0.45,0.33082388735465346,0.7351641941214521,0,,,,9,5.042222222222222,0.526606161608886,0.10443930045129957,10,230.70999999999998,28.694035384843765,0.12437274233818979,10,20.17,6.900893661934907,0.34213652265418476,10,24.708,6.964999775384859,0.28189249536121336,10,255.86799999999994,27.23758856360083,0.10645171949443008,10,0.12437274233818979,10,0.28189249536121336,10,0.10645171949443008
Hebei,河北,2019,10,0.4,0.2309401076758503,0.5773502691896257,0,,,,10,7.05673,1.4548052592472072,0.20615855491810048,10,228.35999999999999,21.748266853041653,0.09523676148643219,10,22.990000000000002,9.760743368776332,0.4245647398336812,10,30.046730000000004,9.389686014635657,0.31250275869073463,10,258.8067299999999,25.46695914989323,0.09840145636820666,10,0.09523676148643219,10,0.31250275869073463,10,0.09840145636820666
Hebei,河北,2020,10,0.34,0.25905812303633924,0.761935655989233,0,,,,10,8.43134,1.9908357726788466,0.23612329388671865,10,229.8,29.89236245821552,0.13007990625855317,10,29.139999999999997,9.028744221774264,0.30984022724002286,10,37.57134,10.547510457522925,0.2807328793043561,10,267.71134,31.727501354265012,0.11851384911175228,10,0.13007990625855317,10,0.2807328793043561,10,0.11851384911175228
Hebei,河北,2021,10,0.61,0.32472210341220137,0.5323313170691826,0,,,,10,10.73559,1.078244219347156,0.10043641936280688,10,219.93,24.599234405430877,0.11185029057168588,10,38.57,12.911239720147357,0.33474824267947517,10,49.30559,12.60456226649258,0.25564164766089564,10,269.84559,30.465790755769557,0.11290082878793593,10,0.11185029057168588,10,0.25564164766089564,10,0.11290082878793593
Hebei,河北,2022,10,2.2600000000000002,1.5805765474099074,0.6993701537211979,0,,,,10,15.36015,2.103466926687146,0.1369431240376654,10,222.65,27.535885676694676,0.12367341422274725,10,46.980000000000004,12.525777864512493,0.26661936706071715,10,62.34015000000001,12.156717384068417,0.19500622606888843,10,287.25015,26.058906278756197,0.0907185123445756,10,0.12367341422274725,10,0.19500622606888843,10,0.0907185123445756
Hebei,河北,2023,10,4.000000000000001,0.6394442031083637,0.1598610507770909,0,,,,10,20.274230000000003,2.199978935782995,0.10851109688422172,10,235.56,27.88999023943099,0.11839866802271604,10,49.61,15.160141453459092,0.30558640301268075,10,69.88423,14.106745824687321,0.20185878594766402,10,309.44422999999995,26.69610167933596,0.08627112445863336,10,0.11839866802271604,10,0.20185878594766402,10,0.08627112445863336
Heilongjiang,黑龙江,2000,12,1.0991666666666668,0.7585447590717054,0.6901089544245992,0,,,,0,,,,12,34.461666666666666,4.203623617208316,0.1219796958129801,0,,,,0,,,,12,35.560833333333335,3.7810110680834694,0.10632515364985268,12,0.1219796958129801,0,,12,0.10632515364985268
Heilongjiang,黑龙江,2001,12,1.055,0.6926956566395323,0.6565835607957652,0,,,,0,,,,12,35.450833333333335,3.6747924080720904,0.10365884416648664,0,,,,0,,,,12,36.505833333333335,3.311375595327926,0.09070812231820283,12,0.10365884416648664,0,,12,0.09070812231820283
