province,province_cn,year,month,technology,generation_ytd_100m_kwh,generation_monthly_100m_kwh,combined_jan_feb_flag,negative_increment_flag,wind_code,wind_name,wind_source
Anhui,安徽,2010,12,hydro,18.851952,0.7586079999999988,False,False,S0075920,安徽:发电量:水力:累计值,国家统计局
Anhui,安徽,2011,1,hydro,0.81605,0.81605,False,False,S0075920,安徽:发电量:水力:累计值,国家统计局
Anhui,安徽,2011,2,hydro,1.6647419999999997,0.8486919999999997,False,False,S0075920,安徽:发电量:水力:累计值,国家统计局
Anhui,安徽,2011,3,hydro,2.6155150000000003,0.9507730000000005,False,False,S0075920,安徽:发电量:水力:累计值,国家统计局
Anhui,安徽,2011,4,hydro,3.9380269999999995,1.3225119999999992,False,False,S0075920,安徽:发电量:水力:累计值,国家统计局
Anhui,安徽,2011,5,hydro,4.887039,0.9490120000000002,False,False,S0075920,安徽:发电量:水力:累计值,国家统计局
Anhui,安徽,2011,6,hydro,6.835311999999999,1.9482729999999995,False,False,S0075920,安徽:发电量:水力:累计值,国家统计局
Anhui,安徽,2011,7,hydro,8.631782000000001,1.796470000000002,False,False,S0075920,安徽:发电量:水力:累计值,国家统计局
Anhui,安徽,2011,8,hydro,13.192020999999999,4.5602389999999975,False,False,S0075920,安徽:发电量:水力:累计值,国家统计局
Anhui,安徽,2011,9,hydro,15.342719,2.150698000000002,False,False,S0075920,安徽:发电量:水力:累计值,国家统计局
Anhui,安徽,2011,10,hydro,16.567332,1.2246129999999997,False,False,S0075920,安徽:发电量:水力:累计值,国家统计局
Anhui,安徽,2011,11,hydro,17.290472,0.7231400000000008,False,False,S0075920,安徽:发电量:水力:累计值,国家统计局
Anhui,安徽,2011,12,hydro,17.890368,0.5998959999999975,False,False,S0075920,安徽:发电量:水力:累计值,国家统计局
Anhui,安徽,2012,1,hydro,0.9132049999999999,0.9132049999999999,False,False,S0075920,安徽:发电量:水力:累计值,国家统计局
Anhui,安徽,2012,2,hydro,1.777209,0.8640040000000001,False,False,S0075920,安徽:发电量:水力:累计值,国家统计局
Anhui,安徽,2012,3,hydro,2.934873,1.157664,False,False,S0075920,安徽:发电量:水力:累计值,国家统计局
Anhui,安徽,2012,4,hydro,5.260618,2.325745,False,False,S0075920,安徽:发电量:水力:累计值,国家统计局
Anhui,安徽,2012,5,hydro,6.433279,1.1726609999999997,False,False,S0075920,安徽:发电量:水力:累计值,国家统计局
Anhui,安徽,2012,6,hydro,8.574288000000001,2.1410090000000013,False,False,S0075920,安徽:发电量:水力:累计值,国家统计局
Anhui,安徽,2012,7,hydro,11.478515,2.904226999999999,False,False,S0075920,安徽:发电量:水力:累计值,国家统计局
Anhui,安徽,2012,8,hydro,14.696776999999999,3.2182619999999993,False,False,S0075920,安徽:发电量:水力:累计值,国家统计局
Anhui,安徽,2012,9,hydro,16.551548,1.8547710000000013,False,False,S0075920,安徽:发电量:水力:累计值,国家统计局
Anhui,安徽,2012,10,hydro,17.916375,1.3648269999999982,False,False,S0075920,安徽:发电量:水力:累计值,国家统计局
