source_file,province,province_cn,year,variable,value,unit,source,date,original_header,notes
数据模板命名.csv,Hebei,河北,2019,hydro_capacity_10k_kw,182,万千瓦,中国电力企业联合会,2019-12-01,发电设备容量:水电:河北,"frequency=年, 年终12月"
数据模板命名.csv,Hebei,河北,2020,hydro_capacity_10k_kw,182,万千瓦,中国电力企业联合会,2020-12-01,发电设备容量:水电:河北,"frequency=年, 年终12月"
数据模板命名.csv,Hebei,河北,2021,hydro_capacity_10k_kw,182,万千瓦,中国电力企业联合会,2021-12-01,发电设备容量:水电:河北,"frequency=年, 年终12月"
数据模板命名.csv,Hebei,河北,2022,hydro_capacity_10k_kw,393,万千瓦,中国电力企业联合会,2022-12-01,发电设备容量:水电:河北,"frequency=年, 年终12月"
数据模板命名.csv,Hebei,河北,2023,hydro_capacity_10k_kw,484,万千瓦,中国电力企业联合会,2023-12-01,发电设备容量:水电:河北,"frequency=年, 年终12月"
数据模板命名.csv,Hebei,河北,2024,hydro_capacity_10k_kw,544,万千瓦,中国电力企业联合会,2024-12-01,发电设备容量:水电:河北,"frequency=年, 年终12月"
数据模板命名.csv,Shanxi,山西,1996,hydro_capacity_10k_kw,25.91,万千瓦,中国电力企业联合会,1996-12-01,发电设备容量:水电:山西,"frequency=年, 年终12月"
数据模板命名.csv,Shanxi,山西,1997,hydro_capacity_10k_kw,25.9,万千瓦,中国电力企业联合会,1997-12-01,发电设备容量:水电:山西,"frequency=年, 年终12月"
数据模板命名.csv,Shanxi,山西,1998,hydro_capacity_10k_kw,43.79,万千瓦,中国电力企业联合会,1998-12-01,发电设备容量:水电:山西,"frequency=年, 年终12月"
数据模板命名.csv,Shanxi,山西,1999,hydro_capacity_10k_kw,61.78,万千瓦,中国电力企业联合会,1999-12-01,发电设备容量:水电:山西,"frequency=年, 年终12月"
数据模板命名.csv,Shanxi,山西,2000,hydro_capacity_10k_kw,97.77,万千瓦,中国电力企业联合会,2000-12-01,发电设备容量:水电:山西,"frequency=年, 年终12月"
数据模板命名.csv,Shanxi,山西,2001,hydro_capacity_10k_kw,79.59,万千瓦,中国电力企业联合会,2001-12-01,发电设备容量:水电:山西,"frequency=年, 年终12月"
数据模板命名.csv,Shanxi,山西,2002,hydro_capacity_10k_kw,79.53,万千瓦,中国电力企业联合会,2002-12-01,发电设备容量:水电:山西,"frequency=年, 年终12月"
数据模板命名.csv,Shanxi,山西,2004,hydro_capacity_10k_kw,78.73,万千瓦,中国电力企业联合会,2004-12-01,发电设备容量:水电:山西,"frequency=年, 年终12月"
数据模板命名.csv,Shanxi,山西,2006,hydro_capacity_10k_kw,79,万千瓦,中国电力企业联合会,2006-12-01,发电设备容量:水电:山西,"frequency=年, 年终12月"
数据模板命名.csv,Shanxi,山西,2007,hydro_capacity_10k_kw,79,万千瓦,中国电力企业联合会,2007-12-01,发电设备容量:水电:山西,"frequency=年, 年终12月"
数据模板命名.csv,Shanxi,山西,2008,hydro_capacity_10k_kw,79,万千瓦,中国电力企业联合会,2008-12-01,发电设备容量:水电:山西,"frequency=年, 年终12月"
数据模板命名.csv,Shanxi,山西,2009,hydro_capacity_10k_kw,161,万千瓦,中国电力企业联合会,2009-12-01,发电设备容量:水电:山西,"frequency=年, 年终12月"
数据模板命名.csv,Shanxi,山西,2010,hydro_capacity_10k_kw,182,万千瓦,中国电力企业联合会,2010-12-01,发电设备容量:水电:山西,"frequency=年, 年终12月"
数据模板命名.csv,Shanxi,山西,2011,hydro_capacity_10k_kw,243,万千瓦,中国电力企业联合会,2011-12-01,发电设备容量:水电:山西,"frequency=年, 年终12月"
数据模板命名.csv,Shanxi,山西,2012,hydro_capacity_10k_kw,243,万千瓦,中国电力企业联合会,2012-12-01,发电设备容量:水电:山西,"frequency=年, 年终12月"
数据模板命名.csv,Shanxi,山西,2013,hydro_capacity_10k_kw,243,万千瓦,中国电力企业联合会,2013-12-01,发电设备容量:水电:山西,"frequency=年, 年终12月"
数据模板命名.csv,Shanxi,山西,2014,hydro_capacity_10k_kw,244,万千瓦,中国电力企业联合会,2014-12-01,发电设备容量:水电:山西,"frequency=年, 年终12月"
数据模板命名.csv,Shanxi,山西,2015,hydro_capacity_10k_kw,244,万千瓦,中国电力企业联合会,2015-12-01,发电设备容量:水电:山西,"frequency=年, 年终12月"
数据模板命名.csv,Shanxi,山西,2016,hydro_capacity_10k_kw,244,万千瓦,中国电力企业联合会,2016-12-01,发电设备容量:水电:山西,"frequency=年, 年终12月"
数据模板命名.csv,Shanxi,山西,2017,hydro_capacity_10k_kw,244,万千瓦,中国电力企业联合会,2017-12-01,发电设备容量:水电:山西,"frequency=年, 年终12月"
数据模板命名.csv,Shanxi,山西,2018,hydro_capacity_10k_kw,223,万千瓦,中国电力企业联合会,2018-12-01,发电设备容量:水电:山西,"frequency=年, 年终12月"
数据模板命名.csv,Shanxi,山西,2019,hydro_capacity_10k_kw,223,万千瓦,中国电力企业联合会,2019-12-01,发电设备容量:水电:山西,"frequency=年, 年终12月"
数据模板命名.csv,Shanxi,山西,2020,hydro_capacity_10k_kw,223,万千瓦,中国电力企业联合会,2020-12-01,发电设备容量:水电:山西,"frequency=年, 年终12月"
数据模板命名.csv,Shanxi,山西,2021,hydro_capacity_10k_kw,224,万千瓦,中国电力企业联合会,2021-12-01,发电设备容量:水电:山西,"frequency=年, 年终12月"
数据模板命名.csv,Shanxi,山西,2022,hydro_capacity_10k_kw,224,万千瓦,中国电力企业联合会,2022-12-01,发电设备容量:水电:山西,"frequency=年, 年终12月"
数据模板命名.csv,Shanxi,山西,2023,hydro_capacity_10k_kw,225.1,万千瓦,中国电力企业联合会,2023-12-01,发电设备容量:水电:山西,"frequency=年, 年终12月"
数据模板命名.csv,Shanxi,山西,2024,hydro_capacity_10k_kw,225.6,万千瓦,中国电力企业联合会,2024-12-01,发电设备容量:水电:山西,"frequency=年, 年终12月"
数据模板命名.csv,Neimenggu,内蒙古,1996,hydro_capacity_10k_kw,4.9,万千瓦,中国电力企业联合会,1996-12-01,发电设备容量:水电:内蒙古,"frequency=年, 年终12月"
数据模板命名.csv,Neimenggu,内蒙古,1997,hydro_capacity_10k_kw,4.67,万千瓦,中国电力企业联合会,1997-12-01,发电设备容量:水电:内蒙古,"frequency=年, 年终12月"
数据模板命名.csv,Neimenggu,内蒙古,1998,hydro_capacity_10k_kw,5.02,万千瓦,中国电力企业联合会,1998-12-01,发电设备容量:水电:内蒙古,"frequency=年, 年终12月"
数据模板命名.csv,Neimenggu,内蒙古,1999,hydro_capacity_10k_kw,23.02,万千瓦,中国电力企业联合会,1999-12-01,发电设备容量:水电:内蒙古,"frequency=年, 年终12月"
数据模板命名.csv,Neimenggu,内蒙古,2000,hydro_capacity_10k_kw,41.06,万千瓦,中国电力企业联合会,2000-12-01,发电设备容量:水电:内蒙古,"frequency=年, 年终12月"
数据模板命名.csv,Neimenggu,内蒙古,2001,hydro_capacity_10k_kw,56.62,万千瓦,中国电力企业联合会,2001-12-01,发电设备容量:水电:内蒙古,"frequency=年, 年终12月"
数据模板命名.csv,Neimenggu,内蒙古,2002,hydro_capacity_10k_kw,59.21,万千瓦,中国电力企业联合会,2002-12-01,发电设备容量:水电:内蒙古,"frequency=年, 年终12月"
数据模板命名.csv,Neimenggu,内蒙古,2004,hydro_capacity_10k_kw,56.79,万千瓦,中国电力企业联合会,2004-12-01,发电设备容量:水电:内蒙古,"frequency=年, 年终12月"
数据模板命名.csv,Neimenggu,内蒙古,2006,hydro_capacity_10k_kw,81.8,万千瓦,中国电力企业联合会,2006-12-01,发电设备容量:水电:内蒙古,"frequency=年, 年终12月"
数据模板命名.csv,Neimenggu,内蒙古,2007,hydro_capacity_10k_kw,83,万千瓦,中国电力企业联合会,2007-12-01,发电设备容量:水电:内蒙古,"frequency=年, 年终12月"
数据模板命名.csv,Neimenggu,内蒙古,2008,hydro_capacity_10k_kw,83,万千瓦,中国电力企业联合会,2008-12-01,发电设备容量:水电:内蒙古,"frequency=年, 年终12月"
数据模板命名.csv,Neimenggu,内蒙古,2009,hydro_capacity_10k_kw,83,万千瓦,中国电力企业联合会,2009-12-01,发电设备容量:水电:内蒙古,"frequency=年, 年终12月"
数据模板命名.csv,Neimenggu,内蒙古,2010,hydro_capacity_10k_kw,85,万千瓦,中国电力企业联合会,2010-12-01,发电设备容量:水电:内蒙古,"frequency=年, 年终12月"
数据模板命名.csv,Neimenggu,内蒙古,2011,hydro_capacity_10k_kw,85,万千瓦,中国电力企业联合会,2011-12-01,发电设备容量:水电:内蒙古,"frequency=年, 年终12月"
数据模板命名.csv,Neimenggu,内蒙古,2012,hydro_capacity_10k_kw,108,万千瓦,中国电力企业联合会,2012-12-01,发电设备容量:水电:内蒙古,"frequency=年, 年终12月"
数据模板命名.csv,Neimenggu,内蒙古,2013,hydro_capacity_10k_kw,108,万千瓦,中国电力企业联合会,2013-12-01,发电设备容量:水电:内蒙古,"frequency=年, 年终12月"
数据模板命名.csv,Neimenggu,内蒙古,2014,hydro_capacity_10k_kw,177,万千瓦,中国电力企业联合会,2014-12-01,发电设备容量:水电:内蒙古,"frequency=年, 年终12月"
数据模板命名.csv,Neimenggu,内蒙古,2015,hydro_capacity_10k_kw,238,万千瓦,中国电力企业联合会,2015-12-01,发电设备容量:水电:内蒙古,"frequency=年, 年终12月"
数据模板命名.csv,Neimenggu,内蒙古,2016,hydro_capacity_10k_kw,241,万千瓦,中国电力企业联合会,2016-12-01,发电设备容量:水电:内蒙古,"frequency=年, 年终12月"
数据模板命名.csv,Neimenggu,内蒙古,2017,hydro_capacity_10k_kw,242,万千瓦,中国电力企业联合会,2017-12-01,发电设备容量:水电:内蒙古,"frequency=年, 年终12月"
数据模板命名.csv,Neimenggu,内蒙古,2018,hydro_capacity_10k_kw,242,万千瓦,中国电力企业联合会,2018-12-01,发电设备容量:水电:内蒙古,"frequency=年, 年终12月"
数据模板命名.csv,Neimenggu,内蒙古,2019,hydro_capacity_10k_kw,239,万千瓦,中国电力企业联合会,2019-12-01,发电设备容量:水电:内蒙古,"frequency=年, 年终12月"
数据模板命名.csv,Neimenggu,内蒙古,2020,hydro_capacity_10k_kw,242,万千瓦,中国电力企业联合会,2020-12-01,发电设备容量:水电:内蒙古,"frequency=年, 年终12月"
数据模板命名.csv,Neimenggu,内蒙古,2021,hydro_capacity_10k_kw,241,万千瓦,中国电力企业联合会,2021-12-01,发电设备容量:水电:内蒙古,"frequency=年, 年终12月"
数据模板命名.csv,Neimenggu,内蒙古,2022,hydro_capacity_10k_kw,241,万千瓦,中国电力企业联合会,2022-12-01,发电设备容量:水电:内蒙古,"frequency=年, 年终12月"
数据模板命名.csv,Neimenggu,内蒙古,2023,hydro_capacity_10k_kw,242,万千瓦,中国电力企业联合会,2023-12-01,发电设备容量:水电:内蒙古,"frequency=年, 年终12月"
