province,year,gem_coal_new_capacity_mw,gem_source_release,gem_source_table,gem_scope_flag
Gansu,2017,1000,"Global Coal Plant Tracker, January 2026",Newly Operating Coal Plants in China by Year (MW),Coal-fired generating units >=30 MW; Xizang absent in source and coded zero
Gansu,2018,0,"Global Coal Plant Tracker, January 2026",Newly Operating Coal Plants in China by Year (MW),Coal-fired generating units >=30 MW; Xizang absent in source and coded zero
Gansu,2019,700,"Global Coal Plant Tracker, January 2026",Newly Operating Coal Plants in China by Year (MW),Coal-fired generating units >=30 MW; Xizang absent in source and coded zero
Gansu,2020,2000,"Global Coal Plant Tracker, January 2026",Newly Operating Coal Plants in China by Year (MW),Coal-fired generating units >=30 MW; Xizang absent in source and coded zero
Gansu,2021,0,"Global Coal Plant Tracker, January 2026",Newly Operating Coal Plants in China by Year (MW),Coal-fired generating units >=30 MW; Xizang absent in source and coded zero
Gansu,2022,0,"Global Coal Plant Tracker, January 2026",Newly Operating Coal Plants in China by Year (MW),Coal-fired generating units >=30 MW; Xizang absent in source and coded zero
Gansu,2023,2000,"Global Coal Plant Tracker, January 2026",Newly Operating Coal Plants in China by Year (MW),Coal-fired generating units >=30 MW; Xizang absent in source and coded zero
Gansu,2024,0,"Global Coal Plant Tracker, January 2026",Newly Operating Coal Plants in China by Year (MW),Coal-fired generating units >=30 MW; Xizang absent in source and coded zero
Gansu,2025,8350,"Global Coal Plant Tracker, January 2026",Newly Operating Coal Plants in China by Year (MW),Coal-fired generating units >=30 MW; Xizang absent in source and coded zero
Guangdong,2000,1625,"Global Coal Plant Tracker, January 2026",Newly Operating Coal Plants in China by Year (MW),Coal-fired generating units >=30 MW; Xizang absent in source and coded zero
Guangdong,2001,835,"Global Coal Plant Tracker, January 2026",Newly Operating Coal Plants in China by Year (MW),Coal-fired generating units >=30 MW; Xizang absent in source and coded zero
Guangdong,2002,498,"Global Coal Plant Tracker, January 2026",Newly Operating Coal Plants in China by Year (MW),Coal-fired generating units >=30 MW; Xizang absent in source and coded zero
Guangdong,2003,1670,"Global Coal Plant Tracker, January 2026",Newly Operating Coal Plants in China by Year (MW),Coal-fired generating units >=30 MW; Xizang absent in source and coded zero
Guangdong,2004,1705,"Global Coal Plant Tracker, January 2026",Newly Operating Coal Plants in China by Year (MW),Coal-fired generating units >=30 MW; Xizang absent in source and coded zero
Guangdong,2005,2530,"Global Coal Plant Tracker, January 2026",Newly Operating Coal Plants in China by Year (MW),Coal-fired generating units >=30 MW; Xizang absent in source and coded zero
Guangdong,2006,3525,"Global Coal Plant Tracker, January 2026",Newly Operating Coal Plants in China by Year (MW),Coal-fired generating units >=30 MW; Xizang absent in source and coded zero
Guangdong,2007,3395,"Global Coal Plant Tracker, January 2026",Newly Operating Coal Plants in China by Year (MW),Coal-fired generating units >=30 MW; Xizang absent in source and coded zero
Guangdong,2008,3425,"Global Coal Plant Tracker, January 2026",Newly Operating Coal Plants in China by Year (MW),Coal-fired generating units >=30 MW; Xizang absent in source and coded zero
Guangdong,2009,4758,"Global Coal Plant Tracker, January 2026",Newly Operating Coal Plants in China by Year (MW),Coal-fired generating units >=30 MW; Xizang absent in source and coded zero
Guangdong,2010,5298,"Global Coal Plant Tracker, January 2026",Newly Operating Coal Plants in China by Year (MW),Coal-fired generating units >=30 MW; Xizang absent in source and coded zero
Guangdong,2011,7025,"Global Coal Plant Tracker, January 2026",Newly Operating Coal Plants in China by Year (MW),Coal-fired generating units >=30 MW; Xizang absent in source and coded zero
