uid,province_id,province,year,co2_emissions,gdp,sec_val,green_invention_patents,green_utility_patents,credit,bond,investment,insurance,equity,fund,carbon_finance,gf_index,green_finance_pilot,ln_gdp,ln_co2,z_green_invention_patents,z_green_utility_patents,z_credit,z_bond,z_investment,z_insurance,z_equity,z_fund,z_carbon_finance,factor_1,factor_2,factor_3,coal_share_pctg,population,urban_population,urbanization_rate,env_expenditure,env_exp_share,treat,event_time,pre_2,post_0,post_1,post_2,did_pre2,did_post0,did_post1,did_post2,sec_pctg,industrial_wastewater,industrial_so2,industrial_solid_waste,gtfp_level,gml_index,market_index,market_gov_relation,market_npoe_dev,market_product_dev,market_factor_dev,market_legal_env
4110,19,Henan,2010,582054592,22568.199,11768.6,530,984,0.032000002,0.1,0.045000002,0.052000001,0.052999999,0.046999998,0.91600001,0.192,0,10.024297,20.182076,-0.36248147,-0.26326975,-0.52278459,-0.37255207,-0.44377878,0.40027633,-0.25551158,-0.23066932,-0.55664766,-0.40043411,-0.11495186,-0.68166018,0.62224513,9405.4697,3621.1101,0.38500044,96.378197,0.028212581,0,-11,0,0,0,0,0,0,0,0,0.52146828,150406.0,116.3,70.1,1.840194438,1.046323999,7.422,8.218,10.333,8.636,6.12,4.125
4111,19,Henan,2011,632205824,26212.199,13533.9,729,1017,0.035999998,0.106,0.037,0.046999998,0.054000001,0.050999999,0.70499998,0.23800001,0,10.17398,20.264725,-0.31408441,-0.25532243,-0.032921158,-0.12068596,-0.46013424,0.2486904,-0.17489201,0.13564421,-0.59063298,-0.064017095,-0.23786412,-0.63877523,0.58466476,9461.0,3808.8101,0.40258005,95.599998,0.022500364,0,-10,0,0,0,0,0,0,0,0,0.51632065,138654.0,122.92,57.566,1.8566027,1.008916592,7.445,8.166,10.605,8.636,6.455,4.132
4112,19,Henan,2012,652481280,28878.5,14528.2,763,1282,0.034000002,0.107,0.041999999,0.072999999,0.057,0.050999999,0.824,0.211,0,10.270853,20.296293,-0.30581555,-0.1915029,-0.27785265,-0.078708164,-0.44991207,1.0369369,0.066966116,0.13564421,-0.57146591,-0.096519649,0.041895151,-0.66360414,0.50350881,9532.0,3991.05,0.41870016,109.4525,0.02186252,0,-9,0,0,0,0,0,0,0,0,0.50308013,137356.0,112.986,49.277,1.810638971,0.975243099,7.373,6.208,10.864,8.636,7.179,5.698
4113,19,Henan,2013,674562304,31621.4,15464.1,1038,1465,0.037,0.118,0.048,0.077,0.059,0.056000002,0.81800002,0.34599999,0,10.361589,20.329575,-0.23893519,-0.14743131,0.089545049,0.38304657,-0.43764549,1.1582056,0.22820497,0.59353632,-0.57243234,0.29890388,0.011903113,-0.58829486,0.44059491,9573.0,4123.0498,0.43069571,111.9228,0.020049535,0,-8,0,0,0,0,0,0,0,0,0.48903906,130789.0,110.266,54.721,1.767730738,0.97630216,7.863,6.14,11.353,8.636,7.641,5.836
4114,19,Henan,2014,665211904,34611.199,16582.301,1338,1705,0.041999999,0.119,0.037999999,0.061000001,0.059,0.052000001,0.65100002,0.289,0,10.451933,20.315617,-0.16597478,-0.089632496,0.70187467,0.42502436,-0.4580898,0.67313087,0.22820497,0.22722276,-0.59933066,0.38458911,-0.10400397,-0.56088358,0.46225119,9645.0,4265.0698,0.44220528,119.9451,0.019895703,0,-7,0,0,0,0,0,0,0,0,0.47910216,128048.0,103.167,71.548,1.686040666,0.95378817,8.27,8.101,11.73,9.42,7.221,5.939
4115,19,Henan,2015,659924928,36798.199,17141.301,1607,2391,0.037999999,0.114,0.039999999,0.082999997,0.061999999,0.052999999,0.73299998,0.205,0,10.513205,20.307636,-0.10055362,0.075575761,0.21201079,0.21513572,-0.45400095,1.3401085,0.47006309,0.31880099,-0.58612311,0.22451079,0.24221119,-0.59407437,0.44474053,9701.0,4441.3799,0.45782703,177.77,0.026145145,0,-6,0,0,0,0,0,0,0,0,0.465819,129809.0,91.5,66.635,1.695909755,1.005853411,8.368,8.897,11.95,9.399,6.857,7.292
4116,19,Henan,2016,647569280,40167.699,18140.6,2250,3034,0.046,0.13,0.045000002,0.102,0.064999998,0.059999999,0.64099997,0.43799999,0,10.600819,20.288736,0.055824842,0.2304284,1.1917386,0.88677877,-0.44377878,1.9161348,0.71192122,0.95984948,-0.60094136,0.88420105,0.35792527,-0.48574221,0.40176314,9778.0,4623.02,0.47279811,195.72,0.026257958,0,-5,0,0,0,0,0,0,0,0,0.45162156,64509.82,37.088,32.363,1.834029444,1.08144283,8.198,7.126,11.52,8.979,5.964,7.403
4117,19,Henan,2017,650981440,44586.5,20035.301,3268,4305,0.046,0.131,0.041000001,0.085000001,0.07,0.059,0.52899998,0.37099999,0,10.705187,20.293991,0.30340382,0.53652126,1.1917386,0.92875659,-0.45195651,1.400743,1.1150185,0.86827129,-0.61898094,0.94482017,0.42130291,-0.41805449,0.36931777,9829.0,4794.8599,0.48782787,241.64999,0.029413842,0,-4,0,0,0,0,0,0,0,0,0.44935802,51133.81,13.065,21.829,2.201415892,1.200316549,8.432,7.097,12.022,8.979,7.271,6.792
4118,19,Henan,2018,674804800,50273.5,21446.801,3910,5591,0.041999999,0.134,0.037,0.104,0.074000001,0.064999998,0.50099999,0.36199999,0,10.825233,20.329933,0.45953909,0.84622651,0.70187467,1.0546899,-0.46013424,1.9767693,1.4374962,1.4177412,-0.62349087,1.0106167,0.77155894,-0.40690091,0.33796364,9864.0,4966.75,0.50352293,358.70001,0.03891414,0,-3,0,0,0,0,0,0,0,0,0.42660251,47163.82,11.371,18.292,2.237033276,1.016179307,8.615,7.018,11.467,8.979,7.58,8.03
4119,19,Henan,2019,691043648,53739.301,22185.5,2921,6358,0.044,0.138,0.037,0.097000003,0.068000004,0.061999999,0.472,0.26100001,0,10.8919,20.353714,0.21901295,1.0309418,0.94680667,1.2226005,-0.46013424,1.7645491,0.95377994,1.1430062,-0.62816179,0.92934585,0.70686322,-0.41537628,0.31874609,9901.0,5129.0,0.5180285,352.2869,0.0346605,0,-2,1,0,0,0,0,0,0,0,0.41283566,45922.98,9.657,15.0,2.500794541,1.117906724,8.607,6.366,11.491,7.045,8.424,9.708
4120,19,Henan,2020,697135616,54160.602,21416.6,3625,8444,0.048,0.14,0.033,0.088,0.07,0.059,0.486,0.285,0,10.899709,20.36249,0.39022669,1.5333098,1.4366705,1.306556,-0.46831197,1.4916945,1.1150185,0.86827129,-0.62590688,0.99590003,0.89572823,-0.33436042,0.3216455,9941.1699,5510.3901,0.55429995,272.62799,0.026283288,0,-1,0,0,0,0,0,0,0,0,0.39542764,43231.67,5.696,6.079,2.383189416,0.952972896,8.607,6.366,11.491,7.045,8.424,9.708
4121,19,Henan,2021,729969984,57806.898,22571.0,3692,6541,0.045000002,0.134,0.037999999,0.094999999,0.068000004,0.059,0.53399998,0.154,0,10.964864,20.408514,0.40652117,1.0750135,1.0692729,1.0546899,-0.4580898,1.7039146,0.95377994,0.86827129,-0.61817563,0.8145929,0.82341754,-0.40322676,0.30183956,9883.0,5579.0,0.56450468,210.40649,0.021504514,0,0,0,1,0,0,0,0,0,0,0.39045513,43889.85,5.362,5.58,2.445065956,1.025963752,8.607,6.366,11.491,7.045,8.424,9.708
4122,19,Henan,2022,713191360,58807.398,22122.5,3548,5894,0.044,0.133,0.037,0.093000002,0.067000002,0.059,0.52499998,0.131,0,10.982023,20.38526,0.37150019,0.91919756,0.94680667,1.0127121,-0.46013424,1.6432804,0.87316036,0.86827129,-0.61962521,0.76890886,0.73604399,-0.42639309,0.2883302,9872.0,5633.0,0.57060373,183.1855,0.017205767,0,1,0,0,1,0,0,0,0,0,0.37618566,42937.39,5.301,4.92,2.16760323,0.886521374,8.607,6.366,11.491,7.045,8.424,9.708
4123,19,Henan,2023,736854464,60627.699,23097.699,3897,6432,0.045000002,0.132,0.037999999,0.093000002,0.068000004,0.059999999,0.55699998,0.14300001,0,11.012507,20.4179,0.45637745,1.0487632,1.0692729,0.97073436,-0.4580898,1.6432804,0.95377994,0.95984948,-0.61447102,0.81704926,0.81471384,-0.39533332,,9815.0,5701.0,0.58084565,178.61,0.016160086,0,2,0,0,0,1,0,0,0,0,0.38097602,39391.495,4.199,4.362,2.064761022,0.952554874,8.607,6.366,11.491,7.045,8.424,9.708
3300,20,Zhejiang,2000,119013240,6218.8999,3287.1001,70,193,0.024,0.071000002,0.093000002,0.013,0.035999998,0.032000002,3.592,0.30599999,0,8.7353487,18.594746,-0.47435409,-0.453765,-1.5025125,-1.5899054,-0.34564614,-0.78209335,-1.6260417,-1.6043446,-0.12562993,-1.6979969,-0.17852278,-0.58074546,,4680.0,,,,,0,-21,0,0,0,0,0,0,0,0,0.52856618,136433.0,56.185,73.672,1.0,1.0,6.667,8.225,7.786,7.545,6.286,3.956
